Benchmark/0-4         	30000000	        38.2 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.6 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.3 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.3 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.7 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.2 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        39.4 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        47.9 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        41.5 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        39.6 ns/op	      64 B/op	       1 allocs/op
Benchmark/1-4         	10000000	       146 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       147 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       146 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       145 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       156 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       161 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       143 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       144 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       143 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       143 ns/op	     144 B/op	       4 allocs/op
Benchmark/10-4        	 2000000	       617 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       615 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       622 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       617 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       614 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       615 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       616 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       623 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       615 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       614 ns/op	     608 B/op	      15 allocs/op
Benchmark/100-4       	  300000	      4453 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4400 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4407 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4396 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4447 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4410 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4398 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4414 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4449 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4395 ns/op	    6192 B/op	     107 allocs/op
