Benchmark/0-4         	50000000	        38.6 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.4 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        39.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        40.2 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        51.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        43.2 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        43.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        40.7 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        40.4 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4         	10000000	       191 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	10000000	       189 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	10000000	       178 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	10000000	       185 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	10000000	       179 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	10000000	       174 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	10000000	       198 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	10000000	       204 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	10000000	       181 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	10000000	       182 ns/op	     320 B/op	       3 allocs/op
Benchmark/10-4        	 3000000	       558 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 3000000	       528 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 3000000	       510 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 3000000	       497 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 3000000	       504 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 3000000	       540 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 3000000	       543 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 3000000	       511 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 3000000	       523 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 3000000	       525 ns/op	     464 B/op	      12 allocs/op
