Benchmark/0-4         	 5000000	       361 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4         	 3000000	       374 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4         	 5000000	       359 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4         	 5000000	       359 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4         	 5000000	       359 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4         	 5000000	       359 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4         	 5000000	       362 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4         	 5000000	       360 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4         	 5000000	       362 ns/op	    1184 B/op	       4 allocs/op
Benchmark/0-4         	 5000000	       358 ns/op	    1184 B/op	       4 allocs/op
Benchmark/1-4         	 3000000	       402 ns/op	    1200 B/op	       5 allocs/op
Benchmark/1-4         	 3000000	       403 ns/op	    1200 B/op	       5 allocs/op
Benchmark/1-4         	 3000000	       405 ns/op	    1200 B/op	       5 allocs/op
Benchmark/1-4         	 3000000	       404 ns/op	    1200 B/op	       5 allocs/op
Benchmark/1-4         	 3000000	       406 ns/op	    1200 B/op	       5 allocs/op
Benchmark/1-4         	 3000000	       402 ns/op	    1200 B/op	       5 allocs/op
Benchmark/1-4         	 3000000	       414 ns/op	    1200 B/op	       5 allocs/op
Benchmark/1-4         	 3000000	       403 ns/op	    1200 B/op	       5 allocs/op
Benchmark/1-4         	 3000000	       406 ns/op	    1200 B/op	       5 allocs/op
Benchmark/1-4         	 3000000	       405 ns/op	    1200 B/op	       5 allocs/op
Benchmark/10-4        	 2000000	       737 ns/op	    1344 B/op	      14 allocs/op
Benchmark/10-4        	 2000000	       736 ns/op	    1344 B/op	      14 allocs/op
Benchmark/10-4        	 2000000	       737 ns/op	    1344 B/op	      14 allocs/op
Benchmark/10-4        	 2000000	       737 ns/op	    1344 B/op	      14 allocs/op
Benchmark/10-4        	 2000000	       738 ns/op	    1344 B/op	      14 allocs/op
Benchmark/10-4        	 2000000	       738 ns/op	    1344 B/op	      14 allocs/op
Benchmark/10-4        	 2000000	       745 ns/op	    1344 B/op	      14 allocs/op
Benchmark/10-4        	 2000000	       737 ns/op	    1344 B/op	      14 allocs/op
Benchmark/10-4        	 2000000	       741 ns/op	    1344 B/op	      14 allocs/op
Benchmark/10-4        	 2000000	       738 ns/op	    1344 B/op	      14 allocs/op
Benchmark/100-4       	  300000	      4565 ns/op	    4992 B/op	     110 allocs/op
Benchmark/100-4       	  300000	      4612 ns/op	    4992 B/op	     110 allocs/op
Benchmark/100-4       	  300000	      4601 ns/op	    4992 B/op	     110 allocs/op
Benchmark/100-4       	  300000	      4554 ns/op	    4992 B/op	     110 allocs/op
Benchmark/100-4       	  300000	      4569 ns/op	    4992 B/op	     110 allocs/op
Benchmark/100-4       	  300000	      4570 ns/op	    4992 B/op	     110 allocs/op
Benchmark/100-4       	  300000	      4595 ns/op	    4992 B/op	     110 allocs/op
Benchmark/100-4       	  300000	      4564 ns/op	    4992 B/op	     110 allocs/op
Benchmark/100-4       	  300000	      4570 ns/op	    4992 B/op	     110 allocs/op
Benchmark/100-4       	  300000	      4560 ns/op	    4992 B/op	     110 allocs/op
Benchmark/1000-4      	   30000	     41097 ns/op	   34848 B/op	    1052 allocs/op
Benchmark/1000-4      	   30000	     40662 ns/op	   34848 B/op	    1052 allocs/op
Benchmark/1000-4      	   30000	     40619 ns/op	   34848 B/op	    1052 allocs/op
Benchmark/1000-4      	   30000	     40638 ns/op	   34848 B/op	    1052 allocs/op
Benchmark/1000-4      	   30000	     41011 ns/op	   34848 B/op	    1052 allocs/op
Benchmark/1000-4      	   30000	     40674 ns/op	   34848 B/op	    1052 allocs/op
Benchmark/1000-4      	   30000	     40745 ns/op	   34848 B/op	    1052 allocs/op
Benchmark/1000-4      	   30000	     41003 ns/op	   34848 B/op	    1052 allocs/op
Benchmark/1000-4      	   30000	     40706 ns/op	   34848 B/op	    1052 allocs/op
Benchmark/1000-4      	   30000	     40828 ns/op	   34848 B/op	    1052 allocs/op
Benchmark/10000-4     	    5000	    401765 ns/op	  333408 B/op	   10472 allocs/op
Benchmark/10000-4     	    3000	    401680 ns/op	  333408 B/op	   10472 allocs/op
Benchmark/10000-4     	    3000	    400013 ns/op	  333408 B/op	   10472 allocs/op
Benchmark/10000-4     	    5000	    400686 ns/op	  333408 B/op	   10472 allocs/op
Benchmark/10000-4     	    5000	    401146 ns/op	  333408 B/op	   10472 allocs/op
