Benchmark/0-4         	30000000	        41.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        39.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        38.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        39.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        39.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        39.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        39.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       106 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       113 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	10000000	       106 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       106 ns/op	     112 B/op	       3 allocs/op
Benchmark/10-4        	 2000000	       723 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       727 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       728 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       731 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       728 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       723 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       723 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       724 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       726 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       730 ns/op	     688 B/op	      21 allocs/op
Benchmark/100-4       	  200000	      6812 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6738 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6770 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6744 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6758 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6751 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6721 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6731 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6727 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6690 ns/op	    6448 B/op	     201 allocs/op
Benchmark/1000-4      	   20000	     70087 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     68861 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     69227 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     68526 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     69003 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     69437 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     69104 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     69049 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     69058 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     68986 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/10000-4     	    2000	    717988 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    708465 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    708277 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    712610 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    706502 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    710378 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    710888 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    718456 ns/op	  640048 B/op	   20001 allocs/op
