Benchmark/0-4         	50000000	        39.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        39.2 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        38.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        39.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        40.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        38.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        39.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        39.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4         	20000000	       108 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       109 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       106 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       109 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/10-4        	 2000000	       724 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       731 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       726 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       728 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       718 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       728 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       719 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       726 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       730 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       723 ns/op	     688 B/op	      21 allocs/op
Benchmark/100-4       	  200000	      6758 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6736 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6742 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6758 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6787 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6734 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6738 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6766 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6732 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6739 ns/op	    6448 B/op	     201 allocs/op
Benchmark/1000-4      	   20000	     68497 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     68563 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     68181 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     68288 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     68327 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     68217 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     68409 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     68076 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     68406 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     68632 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/10000-4     	    2000	    698546 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    700050 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    699489 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    699560 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    700979 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    700080 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    699724 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    703785 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    700676 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    698324 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/100000-4    	     100	  21202070 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  20101442 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  22587677 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  21133638 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  21884574 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  21610584 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  21770540 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  19070359 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  20065169 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  23063228 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/1000000-4   	      10	 163836352 ns/op	64000048 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 165300056 ns/op	64000048 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 169604962 ns/op	64000057 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 153759576 ns/op	64000048 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 151383502 ns/op	64000057 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 148977723 ns/op	64000048 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 142403784 ns/op	64000048 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 158120954 ns/op	64000048 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 158988165 ns/op	64000048 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 163540943 ns/op	64000048 B/op	 2000001 allocs/op
