Benchmark/0-4         	20000000	        65.6 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        63.8 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        64.3 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        66.9 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        74.0 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        68.3 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        72.3 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        66.0 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        64.5 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        69.2 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4         	10000000	       107 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       113 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       110 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       112 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       105 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       109 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       105 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       103 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       102 ns/op	      80 B/op	       3 allocs/op
Benchmark/10-4        	 2000000	       829 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       837 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       902 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       857 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       835 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       885 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       834 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       834 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 1000000	      1010 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	      1065 ns/op	     832 B/op	      17 allocs/op
Benchmark/100-4       	  300000	      6015 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  300000	      5780 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  300000	      5665 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  300000	      6100 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  300000	      6433 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  200000	      6835 ns/op	    7648 B/op	     113 allocs/op
