Benchmark/0-4         	20000000	        68.3 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        73.8 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        69.9 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        70.9 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        72.1 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        68.5 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        64.1 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        68.4 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        66.2 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	20000000	        71.9 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       103 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       105 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       103 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       102 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       103 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       110 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       103 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       105 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	      80 B/op	       3 allocs/op
Benchmark/10-4        	 2000000	       855 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       911 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       843 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       852 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       861 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       841 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       842 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       844 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       873 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       861 ns/op	     832 B/op	      17 allocs/op
Benchmark/100-4       	  300000	      5711 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  300000	      5701 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  300000	      5693 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  300000	      5703 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  300000	      5883 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  300000	      5920 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  300000	      5869 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  300000	      5923 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  200000	      5983 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  200000	      6147 ns/op	    7648 B/op	     113 allocs/op
Benchmark/1000-4      	   30000	     47328 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   30000	     48381 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   30000	     46889 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   30000	     46244 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   30000	     46260 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   30000	     47239 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   30000	     47012 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   30000	     46247 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   30000	     49260 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   30000	     50075 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/10000-4     	    3000	    538832 ns/op	  946336 B/op	   10027 allocs/op
Benchmark/10000-4     	    3000	    561019 ns/op	  946336 B/op	   10027 allocs/op
Benchmark/10000-4     	    3000	    543034 ns/op	  946336 B/op	   10027 allocs/op
Benchmark/10000-4     	    3000	    531353 ns/op	  946336 B/op	   10027 allocs/op
Benchmark/10000-4     	    3000	    528835 ns/op	  946336 B/op	   10027 allocs/op
Benchmark/10000-4     	    3000	    524806 ns/op	  946336 B/op	   10027 allocs/op
Benchmark/10000-4     	    3000	    526112 ns/op	  946336 B/op	   10027 allocs/op
Benchmark/10000-4     	    3000	    539058 ns/op	  946336 B/op	   10027 allocs/op
Benchmark/10000-4     	    3000	    552517 ns/op	  946336 B/op	   10027 allocs/op
Benchmark/10000-4     	    3000	    548935 ns/op	  946336 B/op	   10027 allocs/op
Benchmark/100000-4    	     200	   7869629 ns/op	 7891360 B/op	  100033 allocs/op
Benchmark/100000-4    	     200	   7702124 ns/op	 7891360 B/op	  100033 allocs/op
Benchmark/100000-4    	     200	   7386650 ns/op	 7891360 B/op	  100033 allocs/op
Benchmark/100000-4    	     200	   7011244 ns/op	 7891360 B/op	  100033 allocs/op
Benchmark/100000-4    	     200	   7094529 ns/op	 7891360 B/op	  100033 allocs/op
Benchmark/100000-4    	     200	   7236885 ns/op	 7891360 B/op	  100033 allocs/op
Benchmark/100000-4    	     200	   7259210 ns/op	 7891360 B/op	  100033 allocs/op
Benchmark/100000-4    	     200	   7328918 ns/op	 7891360 B/op	  100033 allocs/op
Benchmark/100000-4    	     200	   7097000 ns/op	 7891360 B/op	  100033 allocs/op
Benchmark/100000-4    	     200	   7266685 ns/op	 7891360 B/op	  100033 allocs/op
Benchmark/1000000-4   	      20	  79977785 ns/op	66331552 B/op	 1000039 allocs/op
Benchmark/1000000-4   	      20	  84196305 ns/op	66331552 B/op	 1000039 allocs/op
Benchmark/1000000-4   	      20	  83341788 ns/op	66331552 B/op	 1000039 allocs/op
Benchmark/1000000-4   	      20	  77871538 ns/op	66331552 B/op	 1000039 allocs/op
Benchmark/1000000-4   	      20	  86919482 ns/op	66331552 B/op	 1000039 allocs/op
