Benchmark/0-4         	30000000	        41.6 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        41.7 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        40.1 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        40.5 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        40.8 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        40.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        40.2 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        42.6 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        41.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        41.0 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4         	20000000	        94.0 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	        96.4 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       100 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       125 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	10000000	       130 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	10000000	       105 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       102 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	10000000	       102 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	10000000	       103 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       106 ns/op	      56 B/op	       3 allocs/op
Benchmark/10-4        	 2000000	       754 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 2000000	       731 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 2000000	      1013 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 2000000	       618 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 2000000	       626 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 2000000	       623 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 2000000	       627 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 2000000	       655 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 2000000	       628 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 2000000	       698 ns/op	     440 B/op	      16 allocs/op
Benchmark/100-4       	  300000	      4865 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      3971 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4138 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      6018 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4785 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      5086 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  200000	      5623 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  500000	      4012 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  500000	      3996 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  500000	      3938 ns/op	    3672 B/op	     109 allocs/op
Benchmark/1000-4      	   50000	     33448 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   50000	     32602 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   50000	     32570 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   50000	     35473 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   50000	     34156 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   50000	     33160 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   50000	     32744 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   50000	     33143 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   50000	     33272 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   50000	     33012 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/10000-4     	    5000	    391306 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    5000	    397209 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    3000	    417000 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    3000	    398824 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    5000	    410489 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    3000	    446077 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    3000	    411014 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    5000	    403216 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    5000	    392348 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    5000	    436391 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/100000-4    	     200	   9070486 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     200	   9072289 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     200	   9374119 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     200	   9171787 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     100	  10234952 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     200	   9190936 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     200	   8912806 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     200	   8986015 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     200	   9536494 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     200	  13623920 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/1000000-4   	      10	 178308963 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 153255840 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 127091650 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 113260840 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 105972338 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 109470453 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 108777052 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 105114473 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 104799658 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 108861975 ns/op	61188376 B/op	 1000041 allocs/op
