Benchmark/0-4         	30000000	        43.5 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        44.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        43.1 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        43.1 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        43.2 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        48.3 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        43.8 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        42.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        42.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        43.2 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4         	20000000	        99.2 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	        99.8 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	        99.0 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       104 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       105 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       100 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	        97.5 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	        97.1 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       101 ns/op	      56 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       101 ns/op	      56 B/op	       3 allocs/op
Benchmark/10-4        	 3000000	       613 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 3000000	       604 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 2000000	       598 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 3000000	       649 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 2000000	       607 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 2000000	       642 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 2000000	       617 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 2000000	       799 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 2000000	       657 ns/op	     440 B/op	      16 allocs/op
Benchmark/10-4        	 1000000	      1067 ns/op	     440 B/op	      16 allocs/op
Benchmark/100-4       	  200000	      6571 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4248 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      5790 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4456 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4602 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      5283 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4342 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4178 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4433 ns/op	    3672 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4027 ns/op	    3672 B/op	     109 allocs/op
Benchmark/1000-4      	   50000	     33752 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   50000	     33802 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   50000	     33323 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   50000	     35046 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   50000	     37098 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   50000	     37348 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   30000	     37267 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   50000	     38019 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   30000	     36490 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/1000-4      	   50000	     37844 ns/op	   32408 B/op	    1012 allocs/op
Benchmark/10000-4     	    3000	    452303 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    3000	    511508 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    3000	    430699 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    3000	    429713 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    5000	    412027 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    3000	    431520 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    3000	    430232 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    3000	    420621 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    5000	    419652 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/10000-4     	    5000	    407134 ns/op	  546328 B/op	   10021 allocs/op
Benchmark/100000-4    	     200	   9795139 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     200	  10308445 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     200	   9837915 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     200	  11052456 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     200	  10534364 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     200	   9934718 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     200	  11825941 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     100	  11188918 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     200	   9354724 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/100000-4    	     200	   9537259 ns/op	 6254360 B/op	  100031 allocs/op
Benchmark/1000000-4   	      10	 109890621 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 126404344 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 124588404 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 118345730 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 119079731 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 113819259 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 112199764 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 115865051 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      20	 111344838 ns/op	61188376 B/op	 1000041 allocs/op
Benchmark/1000000-4   	      10	 108914035 ns/op	61188376 B/op	 1000041 allocs/op
