Benchmark/1-4 	  200000	     10496 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10460 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10447 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10450 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10443 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10561 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10718 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10589 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10488 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10409 ns/op	   65792 B/op	      10 allocs/op
Benchmark/10-4         	  100000	     12407 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12400 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     13768 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12613 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     13329 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12632 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     13200 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12963 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12593 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12588 ns/op	   66800 B/op	      73 allocs/op
Benchmark/100-4        	   50000	     31680 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     31483 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     30913 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     31099 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     30988 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     30221 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     32161 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     31472 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     31670 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     30946 ns/op	   76880 B/op	     703 allocs/op
Benchmark/1000-4       	   10000	    233203 ns/op	  243264 B/op	    7005 allocs/op
