Benchmark/1-4          	 3000000	       417 ns/op	     304 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       490 ns/op	     304 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       426 ns/op	     304 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       417 ns/op	     304 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       430 ns/op	     304 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       413 ns/op	     304 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       405 ns/op	     304 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       454 ns/op	     304 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       407 ns/op	     304 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       400 ns/op	     304 B/op	      11 allocs/op
Benchmark/10-4         	  500000	      2546 ns/op	    1568 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2752 ns/op	    1568 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2571 ns/op	    1568 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2590 ns/op	    1568 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2592 ns/op	    1568 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2582 ns/op	    1568 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2511 ns/op	    1568 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2661 ns/op	    1568 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2642 ns/op	    1568 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2607 ns/op	    1568 B/op	      75 allocs/op
Benchmark/100-4        	   50000	     24638 ns/op	   20912 B/op	     709 allocs/op
Benchmark/100-4        	   50000	     24817 ns/op	   20912 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     25531 ns/op	   20912 B/op	     709 allocs/op
Benchmark/100-4        	   50000	     25147 ns/op	   20912 B/op	     709 allocs/op
Benchmark/100-4        	   50000	     24802 ns/op	   20912 B/op	     709 allocs/op
Benchmark/100-4        	   50000	     26456 ns/op	   20912 B/op	     709 allocs/op
Benchmark/100-4        	   50000	     24885 ns/op	   20912 B/op	     709 allocs/op
Benchmark/100-4        	   50000	     24838 ns/op	   20912 B/op	     709 allocs/op
Benchmark/100-4        	   50000	     25555 ns/op	   20912 B/op	     709 allocs/op
Benchmark/100-4        	   50000	     25703 ns/op	   20912 B/op	     709 allocs/op
Benchmark/1000-4       	   10000	    228417 ns/op	  130000 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    237026 ns/op	  130000 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    223652 ns/op	  130000 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    245561 ns/op	  130000 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    228038 ns/op	  130000 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    233820 ns/op	  130000 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    247357 ns/op	  130000 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    230327 ns/op	  130000 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    228384 ns/op	  130000 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    235041 ns/op	  130000 B/op	    7013 allocs/op
Benchmark/10000-4      	    1000	   2500627 ns/op	 1287184 B/op	   70085 allocs/op
Benchmark/10000-4      	     500	   2394875 ns/op	 1287184 B/op	   70085 allocs/op
Benchmark/10000-4      	    1000	   2515153 ns/op	 1287184 B/op	   70085 allocs/op
Benchmark/10000-4      	    1000	   2319228 ns/op	 1287184 B/op	   70085 allocs/op
Benchmark/10000-4      	     500	   2428165 ns/op	 1287184 B/op	   70085 allocs/op
