Benchmark/1-4          	 5000000	       387 ns/op	     288 B/op	      11 allocs/op
Benchmark/1-4          	 5000000	       387 ns/op	     288 B/op	      11 allocs/op
Benchmark/1-4          	 5000000	       394 ns/op	     288 B/op	      11 allocs/op
Benchmark/1-4          	 5000000	       387 ns/op	     288 B/op	      11 allocs/op
Benchmark/1-4          	 5000000	       389 ns/op	     288 B/op	      11 allocs/op
Benchmark/1-4          	 5000000	       388 ns/op	     288 B/op	      11 allocs/op
Benchmark/1-4          	 5000000	       390 ns/op	     288 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       387 ns/op	     288 B/op	      11 allocs/op
Benchmark/1-4          	 5000000	       387 ns/op	     288 B/op	      11 allocs/op
Benchmark/1-4          	 5000000	       391 ns/op	     288 B/op	      11 allocs/op
Benchmark/10-4         	  500000	      2506 ns/op	    1552 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2502 ns/op	    1552 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2511 ns/op	    1552 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2522 ns/op	    1552 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2519 ns/op	    1552 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2513 ns/op	    1552 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2510 ns/op	    1552 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2508 ns/op	    1552 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2527 ns/op	    1552 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2507 ns/op	    1552 B/op	      75 allocs/op
Benchmark/100-4        	  100000	     23008 ns/op	   15776 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     22916 ns/op	   15776 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     22781 ns/op	   15776 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     22717 ns/op	   15776 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     22853 ns/op	   15776 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     22825 ns/op	   15776 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     22823 ns/op	   15776 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     22727 ns/op	   15776 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     22842 ns/op	   15776 B/op	     707 allocs/op
Benchmark/100-4        	  100000	     22752 ns/op	   15776 B/op	     707 allocs/op
Benchmark/1000-4       	   10000	    217989 ns/op	  129008 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    225058 ns/op	  129008 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    247580 ns/op	  129008 B/op	    7013 allocs/op
Benchmark/1000-4       	    5000	    222940 ns/op	  129008 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    219021 ns/op	  129008 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    219856 ns/op	  129008 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    218159 ns/op	  129008 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    218726 ns/op	  129008 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    217923 ns/op	  129008 B/op	    7013 allocs/op
Benchmark/1000-4       	   10000	    219181 ns/op	  129008 B/op	    7013 allocs/op
Benchmark/10000-4      	    1000	   2283088 ns/op	 1431232 B/op	   70155 allocs/op
Benchmark/10000-4      	    1000	   2437040 ns/op	 1431232 B/op	   70155 allocs/op
Benchmark/10000-4      	    1000	   2317796 ns/op	 1431232 B/op	   70155 allocs/op
Benchmark/10000-4      	    1000	   2410619 ns/op	 1431232 B/op	   70155 allocs/op
Benchmark/10000-4      	    1000	   2283879 ns/op	 1431232 B/op	   70155 allocs/op
Benchmark/10000-4      	    1000	   2273423 ns/op	 1431232 B/op	   70155 allocs/op
Benchmark/10000-4      	    1000	   2273137 ns/op	 1431232 B/op	   70155 allocs/op
Benchmark/10000-4      	    1000	   2252641 ns/op	 1431232 B/op	   70155 allocs/op
Benchmark/10000-4      	    1000	   2292174 ns/op	 1431232 B/op	   70155 allocs/op
Benchmark/10000-4      	    1000	   2261157 ns/op	 1431232 B/op	   70155 allocs/op
Benchmark/100000-4     	      50	  24506120 ns/op	14420320 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  24640874 ns/op	14420320 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  24594495 ns/op	14420320 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  24707820 ns/op	14420320 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  24377631 ns/op	14420320 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  24467428 ns/op	14420320 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  24507600 ns/op	14420320 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  24492907 ns/op	14420320 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  24926122 ns/op	14420320 B/op	  701559 allocs/op
Benchmark/100000-4     	      50	  27558176 ns/op	14420320 B/op	  701559 allocs/op
Benchmark/1000000-4    	       5	 256329952 ns/op	144360928 B/op	 7015623 allocs/op
Benchmark/1000000-4    	       5	 261710797 ns/op	144360947 B/op	 7015623 allocs/op
Benchmark/1000000-4    	       5	 258351306 ns/op	144360928 B/op	 7015623 allocs/op
Benchmark/1000000-4    	       5	 259692921 ns/op	144360928 B/op	 7015623 allocs/op
Benchmark/1000000-4    	       5	 257044026 ns/op	144360928 B/op	 7015623 allocs/op
Benchmark/1000000-4    	       5	 257928670 ns/op	144360928 B/op	 7015623 allocs/op
Benchmark/1000000-4    	       5	 257272575 ns/op	144360928 B/op	 7015623 allocs/op
Benchmark/1000000-4    	       5	 256119865 ns/op	144360928 B/op	 7015623 allocs/op
Benchmark/1000000-4    	       5	 260600988 ns/op	144360928 B/op	 7015623 allocs/op
Benchmark/1000000-4    	       5	 267656327 ns/op	144360928 B/op	 7015623 allocs/op
