Benchmark/1-4          	 5000000	       382 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4          	 3000000	       385 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4          	 3000000	       384 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4          	 5000000	       380 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4          	 5000000	       360 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4          	 5000000	       369 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4          	 5000000	       359 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4          	 5000000	       362 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4          	 5000000	       520 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4          	 5000000	       390 ns/op	     416 B/op	       9 allocs/op
Benchmark/10-4         	  500000	      2497 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2494 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2500 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2476 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2554 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2626 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2679 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2624 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2457 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2674 ns/op	    1424 B/op	      72 allocs/op
Benchmark/100-4        	   50000	     28645 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     26332 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     27047 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     27311 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     26083 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     26806 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     29516 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     27867 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     28181 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     28008 ns/op	   22256 B/op	     714 allocs/op
Benchmark/1000-4       	    5000	    261613 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	    5000	    269677 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	    5000	    272028 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	    5000	    280085 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	    5000	    357820 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	    5000	    279617 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	    5000	    263083 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	    5000	    277554 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	    5000	    264425 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	    5000	    261285 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/10000-4      	     500	   2957503 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2704945 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2631839 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2719187 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2624255 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2696150 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2705182 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2622463 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2655613 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2664877 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/100000-4     	      50	  31846559 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  31948167 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  32073933 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  31578236 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  31307844 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  32561006 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  36027758 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  32100898 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  39996164 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      30	  35528685 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/1000000-4    	       3	 338170036 ns/op	212662064 B/op	 7000066 allocs/op
Benchmark/1000000-4    	       3	 351728824 ns/op	212662064 B/op	 7000066 allocs/op
Benchmark/1000000-4    	       3	 344259348 ns/op	212662064 B/op	 7000066 allocs/op
Benchmark/1000000-4    	       3	 346632994 ns/op	212662064 B/op	 7000066 allocs/op
Benchmark/1000000-4    	       5	 333546805 ns/op	212662064 B/op	 7000066 allocs/op
