Benchmark/1-4 	 2000000	       607 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4 	 2000000	       609 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4 	 2000000	       633 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4 	 2000000	       606 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4 	 2000000	       612 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4 	 2000000	       607 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4 	 2000000	       607 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4 	 2000000	       609 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4 	 2000000	       606 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4 	 2000000	       604 ns/op	    1296 B/op	      11 allocs/op
Benchmark/10-4         	  500000	      3110 ns/op	    3408 B/op	      77 allocs/op
Benchmark/10-4         	  500000	      3137 ns/op	    3408 B/op	      77 allocs/op
Benchmark/10-4         	  500000	      3120 ns/op	    3408 B/op	      77 allocs/op
Benchmark/10-4         	  500000	      3106 ns/op	    3408 B/op	      77 allocs/op
Benchmark/10-4         	  500000	      3124 ns/op	    3408 B/op	      77 allocs/op
Benchmark/10-4         	  500000	      3110 ns/op	    3408 B/op	      77 allocs/op
Benchmark/10-4         	  500000	      3105 ns/op	    3408 B/op	      77 allocs/op
Benchmark/10-4         	  500000	      3111 ns/op	    3408 B/op	      77 allocs/op
Benchmark/10-4         	  500000	      3141 ns/op	    3408 B/op	      77 allocs/op
Benchmark/10-4         	  500000	      3106 ns/op	    3408 B/op	      77 allocs/op
Benchmark/100-4        	   50000	     26643 ns/op	   22320 B/op	     731 allocs/op
Benchmark/100-4        	   50000	     26665 ns/op	   22320 B/op	     731 allocs/op
Benchmark/100-4        	   50000	     26873 ns/op	   22320 B/op	     731 allocs/op
Benchmark/100-4        	   50000	     27148 ns/op	   22320 B/op	     731 allocs/op
Benchmark/100-4        	   50000	     26723 ns/op	   22320 B/op	     731 allocs/op
Benchmark/100-4        	   50000	     26649 ns/op	   22320 B/op	     731 allocs/op
Benchmark/100-4        	   50000	     26865 ns/op	   22320 B/op	     731 allocs/op
Benchmark/100-4        	   50000	     26694 ns/op	   22320 B/op	     731 allocs/op
Benchmark/100-4        	   50000	     26729 ns/op	   22320 B/op	     731 allocs/op
Benchmark/100-4        	   50000	     26802 ns/op	   22320 B/op	     731 allocs/op
Benchmark/1000-4       	    5000	    264027 ns/op	  216960 B/op	    7286 allocs/op
Benchmark/1000-4       	    5000	    264240 ns/op	  216960 B/op	    7286 allocs/op
Benchmark/1000-4       	    5000	    264700 ns/op	  216960 B/op	    7286 allocs/op
Benchmark/1000-4       	    5000	    264889 ns/op	  216960 B/op	    7286 allocs/op
Benchmark/1000-4       	    5000	    265586 ns/op	  216960 B/op	    7286 allocs/op
Benchmark/1000-4       	    5000	    263609 ns/op	  216960 B/op	    7286 allocs/op
Benchmark/1000-4       	    5000	    264726 ns/op	  216960 B/op	    7286 allocs/op
Benchmark/1000-4       	    5000	    264203 ns/op	  216960 B/op	    7286 allocs/op
Benchmark/1000-4       	    5000	    266914 ns/op	  216960 B/op	    7286 allocs/op
Benchmark/1000-4       	    5000	    266120 ns/op	  216960 B/op	    7286 allocs/op
Benchmark/10000-4      	     500	   2688355 ns/op	 2156736 B/op	   72818 allocs/op
Benchmark/10000-4      	     500	   2680705 ns/op	 2156736 B/op	   72818 allocs/op
Benchmark/10000-4      	     500	   2704587 ns/op	 2156736 B/op	   72818 allocs/op
Benchmark/10000-4      	     500	   2681494 ns/op	 2156736 B/op	   72818 allocs/op
Benchmark/10000-4      	     500	   2682375 ns/op	 2156736 B/op	   72818 allocs/op
Benchmark/10000-4      	     500	   2693197 ns/op	 2156736 B/op	   72818 allocs/op
Benchmark/10000-4      	     500	   2687605 ns/op	 2156736 B/op	   72818 allocs/op
Benchmark/10000-4      	     500	   2679268 ns/op	 2156736 B/op	   72818 allocs/op
Benchmark/10000-4      	     500	   2668331 ns/op	 2156736 B/op	   72818 allocs/op
Benchmark/10000-4      	     500	   2686225 ns/op	 2156736 B/op	   72818 allocs/op
Benchmark/100000-4     	      50	  31115919 ns/op	21551184 B/op	  728129 allocs/op
Benchmark/100000-4     	      50	  30360452 ns/op	21551187 B/op	  728129 allocs/op
Benchmark/100000-4     	      50	  31240699 ns/op	21551187 B/op	  728129 allocs/op
Benchmark/100000-4     	      50	  30948949 ns/op	21551185 B/op	  728129 allocs/op
Benchmark/100000-4     	      50	  30856258 ns/op	21551185 B/op	  728129 allocs/op
Benchmark/100000-4     	      50	  31051322 ns/op	21551184 B/op	  728129 allocs/op
Benchmark/100000-4     	      50	  30294222 ns/op	21551184 B/op	  728129 allocs/op
Benchmark/100000-4     	      50	  30946524 ns/op	21551184 B/op	  728129 allocs/op
Benchmark/100000-4     	      50	  31817176 ns/op	21551187 B/op	  728129 allocs/op
Benchmark/100000-4     	      50	  31267225 ns/op	21551185 B/op	  728129 allocs/op
Benchmark/1000000-4    	       3	 352286455 ns/op	215501184 B/op	 7281254 allocs/op
Benchmark/1000000-4    	       3	 337610543 ns/op	215501248 B/op	 7281254 allocs/op
Benchmark/1000000-4    	       3	 345397168 ns/op	215501184 B/op	 7281254 allocs/op
Benchmark/1000000-4    	       5	 335833290 ns/op	215501184 B/op	 7281254 allocs/op
Benchmark/1000000-4    	       3	 335071124 ns/op	215501184 B/op	 7281254 allocs/op
Benchmark/1000000-4    	       3	 337405488 ns/op	215501184 B/op	 7281254 allocs/op
Benchmark/1000000-4    	       3	 334081034 ns/op	215501184 B/op	 7281254 allocs/op
Benchmark/1000000-4    	       3	 344919716 ns/op	215501184 B/op	 7281254 allocs/op
Benchmark/1000000-4    	       3	 348103847 ns/op	215501184 B/op	 7281254 allocs/op
Benchmark/1000000-4    	       5	 326081331 ns/op	215501203 B/op	 7281254 allocs/op
