Benchmark/1-4          	 2000000	       604 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4          	 2000000	       606 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4          	 2000000	       606 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4          	 2000000	       612 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4          	 2000000	       607 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4          	 2000000	       605 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4          	 2000000	       611 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4          	 2000000	       609 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4          	 2000000	       606 ns/op	    1296 B/op	      11 allocs/op
Benchmark/1-4          	 2000000	       609 ns/op	    1296 B/op	      11 allocs/op
Benchmark/10-4         	  500000	      2743 ns/op	    2304 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2754 ns/op	    2304 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2747 ns/op	    2304 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2739 ns/op	    2304 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2759 ns/op	    2304 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2750 ns/op	    2304 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2743 ns/op	    2304 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2747 ns/op	    2304 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2764 ns/op	    2304 B/op	      74 allocs/op
Benchmark/10-4         	  500000	      2755 ns/op	    2304 B/op	      74 allocs/op
Benchmark/100-4        	   50000	     26076 ns/op	   21216 B/op	     728 allocs/op
Benchmark/100-4        	   50000	     26138 ns/op	   21216 B/op	     728 allocs/op
Benchmark/100-4        	   50000	     26259 ns/op	   21216 B/op	     728 allocs/op
Benchmark/100-4        	   50000	     26218 ns/op	   21216 B/op	     728 allocs/op
Benchmark/100-4        	   50000	     26102 ns/op	   21216 B/op	     728 allocs/op
Benchmark/100-4        	   50000	     26053 ns/op	   21216 B/op	     728 allocs/op
Benchmark/100-4        	   50000	     26273 ns/op	   21216 B/op	     728 allocs/op
Benchmark/100-4        	   50000	     26428 ns/op	   21216 B/op	     728 allocs/op
Benchmark/100-4        	   50000	     26050 ns/op	   21216 B/op	     728 allocs/op
Benchmark/100-4        	   50000	     26232 ns/op	   21216 B/op	     728 allocs/op
Benchmark/1000-4       	    5000	    251004 ns/op	  183840 B/op	    7196 allocs/op
Benchmark/1000-4       	    5000	    251601 ns/op	  183840 B/op	    7196 allocs/op
Benchmark/1000-4       	    5000	    251408 ns/op	  183840 B/op	    7196 allocs/op
Benchmark/1000-4       	    5000	    251215 ns/op	  183840 B/op	    7196 allocs/op
Benchmark/1000-4       	    5000	    254171 ns/op	  183840 B/op	    7196 allocs/op
Benchmark/1000-4       	    5000	    251859 ns/op	  183840 B/op	    7196 allocs/op
Benchmark/1000-4       	    5000	    251732 ns/op	  183840 B/op	    7196 allocs/op
Benchmark/1000-4       	    5000	    250895 ns/op	  183840 B/op	    7196 allocs/op
Benchmark/1000-4       	    5000	    253234 ns/op	  183840 B/op	    7196 allocs/op
Benchmark/1000-4       	    5000	    255417 ns/op	  183840 B/op	    7196 allocs/op
Benchmark/10000-4      	     500	   2557324 ns/op	 1810080 B/op	   71876 allocs/op
Benchmark/10000-4      	     500	   2564657 ns/op	 1810080 B/op	   71876 allocs/op
Benchmark/10000-4      	     500	   2569115 ns/op	 1810080 B/op	   71876 allocs/op
Benchmark/10000-4      	     500	   2568845 ns/op	 1810080 B/op	   71876 allocs/op
Benchmark/10000-4      	     500	   2551982 ns/op	 1810080 B/op	   71876 allocs/op
Benchmark/10000-4      	     500	   2555981 ns/op	 1810080 B/op	   71876 allocs/op
Benchmark/10000-4      	     500	   2558119 ns/op	 1810080 B/op	   71876 allocs/op
Benchmark/10000-4      	     500	   2570575 ns/op	 1810080 B/op	   71876 allocs/op
Benchmark/10000-4      	     500	   2557698 ns/op	 1810080 B/op	   71876 allocs/op
Benchmark/10000-4      	     500	   2552577 ns/op	 1810080 B/op	   71876 allocs/op
Benchmark/100000-4     	      50	  30054421 ns/op	18101184 B/op	  718754 allocs/op
Benchmark/100000-4     	      50	  29970938 ns/op	18101184 B/op	  718754 allocs/op
Benchmark/100000-4     	      50	  30281769 ns/op	18101184 B/op	  718754 allocs/op
Benchmark/100000-4     	      50	  29233950 ns/op	18101184 B/op	  718754 allocs/op
Benchmark/100000-4     	      50	  30146332 ns/op	18101184 B/op	  718754 allocs/op
Benchmark/100000-4     	      50	  30315624 ns/op	18101185 B/op	  718754 allocs/op
Benchmark/100000-4     	      50	  30603673 ns/op	18101184 B/op	  718754 allocs/op
Benchmark/100000-4     	      50	  30026920 ns/op	18101184 B/op	  718754 allocs/op
Benchmark/100000-4     	      50	  29472251 ns/op	18101184 B/op	  718754 allocs/op
Benchmark/100000-4     	      50	  29435299 ns/op	18101185 B/op	  718754 allocs/op
Benchmark/1000000-4    	       3	 335756761 ns/op	181001184 B/op	 7187504 allocs/op
Benchmark/1000000-4    	       3	 348971484 ns/op	181001184 B/op	 7187504 allocs/op
Benchmark/1000000-4    	       3	 342288093 ns/op	181001184 B/op	 7187504 allocs/op
Benchmark/1000000-4    	       3	 339460500 ns/op	181001184 B/op	 7187504 allocs/op
Benchmark/1000000-4    	       3	 352643837 ns/op	181001184 B/op	 7187504 allocs/op
Benchmark/1000000-4    	       3	 333975852 ns/op	181001184 B/op	 7187504 allocs/op
Benchmark/1000000-4    	       3	 340739304 ns/op	181001184 B/op	 7187504 allocs/op
Benchmark/1000000-4    	       5	 324286648 ns/op	181001184 B/op	 7187504 allocs/op
Benchmark/1000000-4    	       3	 343258717 ns/op	181001184 B/op	 7187504 allocs/op
Benchmark/1000000-4    	       3	 339532499 ns/op	181001184 B/op	 7187504 allocs/op
