Benchmark/1-4 	 3000000	       515 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       518 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       508 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       542 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       521 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       509 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       705 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       495 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       497 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       494 ns/op	     496 B/op	      15 allocs/op
Benchmark/10-4         	  300000	      4857 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4798 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4721 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4726 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4854 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4833 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4869 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4752 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4800 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4882 ns/op	    4528 B/op	     141 allocs/op
Benchmark/100-4        	   30000	     47185 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     46988 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     46874 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     46970 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     46372 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     46439 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     49567 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     46458 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     46900 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     51098 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/1000-4       	    3000	    504861 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    523379 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    708953 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    492641 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    506153 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    476149 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    504631 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    685299 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    493363 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    499199 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/10000-4      	     300	   5171270 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5511077 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     200	   5858117 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5431936 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5367355 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5342032 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5533876 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5537503 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5373893 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5276631 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/100000-4     	      20	  75361363 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  77425063 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  79712608 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  81069787 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  76705196 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  71881916 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  69117973 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  69126816 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  74977235 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  75024002 ns/op	44800052 B/op	 1400001 allocs/op
Benchmark/1000000-4    	       2	 815458422 ns/op	448000048 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	 776252171 ns/op	448000096 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	 888719621 ns/op	448000144 B/op	14000002 allocs/op
Benchmark/1000000-4    	       2	 924555921 ns/op	448000144 B/op	14000002 allocs/op
