Benchmark/1-4          	 3000000	       499 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 3000000	       507 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 3000000	       530 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 3000000	       529 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 1000000	      1144 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 3000000	       505 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 3000000	       497 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 3000000	       503 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 3000000	       494 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 3000000	       530 ns/op	     496 B/op	      15 allocs/op
Benchmark/10-4         	  300000	      5164 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4824 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      5895 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4957 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4932 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4818 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4724 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4914 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4755 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4754 ns/op	    4528 B/op	     141 allocs/op
Benchmark/100-4        	   30000	     49633 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     58651 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     47612 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     46840 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     47649 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     47058 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     46862 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     46296 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     47168 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     47033 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/1000-4       	    3000	    464454 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    460970 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    460730 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    469760 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    500847 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    558407 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    496118 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    516604 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    481796 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    474769 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/10000-4      	     300	   5096769 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5541747 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     200	   5398587 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5287331 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5118979 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5068008 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5230079 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5636562 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     200	   6472316 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5109936 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/100000-4     	      20	  80118474 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  74061684 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  77151112 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  74777651 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  73561568 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  76267111 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  75060718 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  74625159 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  76290012 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  75280532 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/1000000-4    	       2	 892644815 ns/op	448000048 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	 916398898 ns/op	448000096 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	 831160775 ns/op	448000096 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	 888953482 ns/op	448000096 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	1038947835 ns/op	448000096 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	 962965840 ns/op	448000048 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	 942852397 ns/op	448000048 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	1049259586 ns/op	448000096 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	 929117647 ns/op	448000048 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	 953795818 ns/op	448000096 B/op	14000001 allocs/op
