Benchmark/1-4          	 3000000	       441 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       477 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       501 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       441 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       440 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       443 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       444 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       443 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       474 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       479 ns/op	     272 B/op	      11 allocs/op
Benchmark/10-4         	  500000	      3433 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3181 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3262 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3170 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3226 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3258 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3233 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3228 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3242 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3172 ns/op	    2176 B/op	      79 allocs/op
Benchmark/100-4        	   50000	     27914 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     28889 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     28319 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     29597 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     29100 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     29861 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     29701 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     29521 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     29187 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     27997 ns/op	   23008 B/op	     721 allocs/op
Benchmark/1000-4       	    5000	    257572 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    5000	    254447 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    5000	    277078 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    5000	    264654 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    5000	    272166 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    5000	    263200 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    5000	    257935 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    5000	    264420 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    5000	    271686 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    5000	    263111 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/10000-4      	     500	   2883715 ns/op	 2692384 B/op	   70049 allocs/op
Benchmark/10000-4      	     500	   2977940 ns/op	 2692384 B/op	   70049 allocs/op
Benchmark/10000-4      	     500	   2904774 ns/op	 2692384 B/op	   70049 allocs/op
Benchmark/10000-4      	     500	   2863532 ns/op	 2692384 B/op	   70049 allocs/op
Benchmark/10000-4      	     500	   2901750 ns/op	 2692384 B/op	   70049 allocs/op
Benchmark/10000-4      	     500	   2900828 ns/op	 2692384 B/op	   70049 allocs/op
Benchmark/10000-4      	     500	   2873404 ns/op	 2692384 B/op	   70049 allocs/op
Benchmark/10000-4      	     500	   2849346 ns/op	 2692384 B/op	   70049 allocs/op
Benchmark/10000-4      	     500	   2769256 ns/op	 2692384 B/op	   70049 allocs/op
Benchmark/10000-4      	     500	   2953879 ns/op	 2692384 B/op	   70049 allocs/op
Benchmark/100000-4     	      50	  34193362 ns/op	23782432 B/op	  700061 allocs/op
Benchmark/100000-4     	      30	  35664054 ns/op	23782432 B/op	  700061 allocs/op
Benchmark/100000-4     	      50	  34144945 ns/op	23782432 B/op	  700061 allocs/op
Benchmark/100000-4     	      50	  35959995 ns/op	23782432 B/op	  700061 allocs/op
Benchmark/100000-4     	      30	  35531077 ns/op	23782432 B/op	  700061 allocs/op
Benchmark/100000-4     	      50	  36010806 ns/op	23782432 B/op	  700061 allocs/op
Benchmark/100000-4     	      50	  35874923 ns/op	23782432 B/op	  700061 allocs/op
Benchmark/100000-4     	      50	  37077300 ns/op	23782432 B/op	  700061 allocs/op
Benchmark/100000-4     	      30	  38696622 ns/op	23782432 B/op	  700061 allocs/op
Benchmark/100000-4     	      50	  35728179 ns/op	23782432 B/op	  700061 allocs/op
Benchmark/1000000-4    	       3	 385625161 ns/op	212662816 B/op	 7000073 allocs/op
Benchmark/1000000-4    	       3	 345061714 ns/op	212662816 B/op	 7000073 allocs/op
Benchmark/1000000-4    	       3	 338296008 ns/op	212662816 B/op	 7000073 allocs/op
Benchmark/1000000-4    	       3	 347300062 ns/op	212662816 B/op	 7000073 allocs/op
Benchmark/1000000-4    	       3	 368593878 ns/op	212662816 B/op	 7000073 allocs/op
Benchmark/1000000-4    	       3	 362872086 ns/op	212662816 B/op	 7000073 allocs/op
Benchmark/1000000-4    	       3	 368340926 ns/op	212662816 B/op	 7000073 allocs/op
Benchmark/1000000-4    	       3	 369378187 ns/op	212662816 B/op	 7000073 allocs/op
Benchmark/1000000-4    	       3	 346440455 ns/op	212662816 B/op	 7000073 allocs/op
Benchmark/1000000-4    	       3	 359173671 ns/op	212662848 B/op	 7000073 allocs/op
