Benchmark/1-4 	 3000000	       475 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       468 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       487 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       478 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       473 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       475 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       505 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       475 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       477 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       469 ns/op	     232 B/op	      14 allocs/op
Benchmark/10-4         	  500000	      3571 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3558 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3519 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3506 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3612 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3505 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3512 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3533 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3590 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3511 ns/op	    2168 B/op	     101 allocs/op
Benchmark/100-4        	   50000	     26508 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	   50000	     26131 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	   50000	     26814 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	   50000	     26176 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	   50000	     26384 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	   50000	     26242 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	   50000	     27582 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	   50000	     28049 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	   50000	     28281 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	   50000	     27428 ns/op	   21336 B/op	     822 allocs/op
Benchmark/1000-4       	    5000	    283978 ns/op	  214472 B/op	    8766 allocs/op
Benchmark/1000-4       	    5000	    280208 ns/op	  214472 B/op	    8766 allocs/op
Benchmark/1000-4       	    5000	    272236 ns/op	  214472 B/op	    8766 allocs/op
