Benchmark/1-4          	 5000000	       365 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4          	 5000000	       367 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4          	 5000000	       372 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4          	 5000000	       372 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4          	 5000000	       364 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4          	 5000000	       362 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4          	 5000000	       444 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4          	 3000000	       445 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4          	 5000000	       365 ns/op	     200 B/op	      11 allocs/op
Benchmark/1-4          	 5000000	       358 ns/op	     200 B/op	      11 allocs/op
Benchmark/10-4         	 1000000	      2284 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2191 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2123 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2146 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2154 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2144 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2157 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2144 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2178 ns/op	    1400 B/op	      76 allocs/op
Benchmark/10-4         	 1000000	      2129 ns/op	    1400 B/op	      76 allocs/op
Benchmark/100-4        	  100000	     18434 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18218 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18608 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18247 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18297 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18312 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18476 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18346 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18448 ns/op	   13272 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     18404 ns/op	   13272 B/op	     709 allocs/op
Benchmark/1000-4       	   10000	    178177 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    175994 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    177875 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    175986 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    176899 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    176184 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    175452 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    175644 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    177745 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/1000-4       	   10000	    175853 ns/op	  128408 B/op	    7012 allocs/op
Benchmark/10000-4      	    1000	   1856214 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1855744 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1857667 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1871168 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1863581 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1907807 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1901961 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1911981 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1913761 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/10000-4      	    1000	   1907546 ns/op	 1506328 B/op	   70021 allocs/op
Benchmark/100000-4     	      50	  25229205 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  25857258 ns/op	15854361 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  25206401 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  25507235 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  25961247 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  26161803 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  25129841 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  25651564 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  25911322 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/100000-4     	      50	  26645126 ns/op	15854360 B/op	  700031 allocs/op
Benchmark/1000000-4    	       5	 279034470 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       5	 297268768 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       5	 286181869 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       5	 292034464 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       5	 274472222 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       5	 278542092 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       5	 271243537 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       5	 276507117 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       5	 281696316 ns/op	157188376 B/op	 7000041 allocs/op
Benchmark/1000000-4    	       5	 290758022 ns/op	157188376 B/op	 7000041 allocs/op
