Benchmark/1-4                	  300000	      3785 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3816 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3767 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      4053 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3820 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3803 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3788 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3814 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3735 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3744 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   50000	     36742 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36346 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     37000 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     37242 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   30000	     38773 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     38606 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     39274 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     40351 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     37289 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36504 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    3000	    347581 ns/op	  160004 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    362947 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    385529 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    372554 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/100-4              	    3000	    413009 ns/op	  160004 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    360170 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    363690 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    349579 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    352223 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    356816 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/1000-4             	     500	   3762138 ns/op	 2415807 B/op	  100393 allocs/op
Benchmark/1000-4             	     500	   3689251 ns/op	 2415807 B/op	  100393 allocs/op
Benchmark/1000-4             	     500	   3685599 ns/op	 2415807 B/op	  100393 allocs/op
Benchmark/1000-4             	     500	   3687892 ns/op	 2415807 B/op	  100393 allocs/op
Benchmark/1000-4             	     500	   3761679 ns/op	 2415807 B/op	  100393 allocs/op
Benchmark/1000-4             	     500	   3775854 ns/op	 2415807 B/op	  100393 allocs/op
Benchmark/1000-4             	     500	   3776158 ns/op	 2415807 B/op	  100393 allocs/op
Benchmark/1000-4             	     500	   3743549 ns/op	 2415807 B/op	  100393 allocs/op
Benchmark/1000-4             	     500	   3687939 ns/op	 2415807 B/op	  100393 allocs/op
Benchmark/1000-4             	     500	   3881267 ns/op	 2415807 B/op	  100393 allocs/op
Benchmark/10000-4            	      50	  37688182 ns/op	17045291 B/op	 1000504 allocs/op
Benchmark/10000-4            	      50	  37349557 ns/op	17045293 B/op	 1000504 allocs/op
Benchmark/10000-4            	      30	  36618678 ns/op	17051492 B/op	 1000507 allocs/op
Benchmark/10000-4            	      50	  36224776 ns/op	17045291 B/op	 1000504 allocs/op
Benchmark/10000-4            	      50	  36264250 ns/op	17045291 B/op	 1000504 allocs/op
Benchmark/10000-4            	      30	  36864507 ns/op	17051485 B/op	 1000507 allocs/op
Benchmark/10000-4            	      50	  35900643 ns/op	17045293 B/op	 1000504 allocs/op
Benchmark/10000-4            	      50	  35746484 ns/op	17045293 B/op	 1000504 allocs/op
Benchmark/10000-4            	      50	  36131384 ns/op	17045291 B/op	 1000504 allocs/op
Benchmark/10000-4            	      50	  35846195 ns/op	17045291 B/op	 1000504 allocs/op
Benchmark/100000-4           	       3	 380278072 ns/op	161746512 B/op	10000844 allocs/op
Benchmark/100000-4           	       3	 379289297 ns/op	161746480 B/op	10000844 allocs/op
Benchmark/100000-4           	       3	 378224159 ns/op	161746480 B/op	10000844 allocs/op
Benchmark/100000-4           	       3	 385479557 ns/op	161746512 B/op	10000844 allocs/op
Benchmark/100000-4           	       3	 383369693 ns/op	161746480 B/op	10000844 allocs/op
Benchmark/100000-4           	       3	 380178839 ns/op	161746480 B/op	10000844 allocs/op
Benchmark/100000-4           	       3	 376790165 ns/op	161746480 B/op	10000844 allocs/op
Benchmark/100000-4           	       3	 381534493 ns/op	161746480 B/op	10000844 allocs/op
Benchmark/100000-4           	       3	 380269885 ns/op	161746480 B/op	10000844 allocs/op
Benchmark/100000-4           	       3	 378588623 ns/op	161746480 B/op	10000844 allocs/op
