Benchmark/1-4                	  500000	      4001 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4145 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4840 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3946 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4201 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3833 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3850 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3784 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3904 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      4061 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   30000	     37277 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36393 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35866 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36900 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     37945 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     38755 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36420 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35807 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36262 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36177 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    5000	    364450 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3000	    344868 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    338779 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    337594 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    335139 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    348430 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    344949 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    346492 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    347270 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    364746 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/1000-4             	     500	   3429645 ns/op	 1600042 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3515229 ns/op	 1600042 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3455750 ns/op	 1600042 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3442436 ns/op	 1600042 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3789027 ns/op	 1600042 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3653540 ns/op	 1600042 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3587846 ns/op	 1600042 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   4218568 ns/op	 1600042 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3783724 ns/op	 1600042 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3783231 ns/op	 1600042 B/op	  100000 allocs/op
Benchmark/10000-4            	      30	  39803096 ns/op	30116964 B/op	 1006813 allocs/op
Benchmark/10000-4            	      30	  39219210 ns/op	30116964 B/op	 1006813 allocs/op
Benchmark/10000-4            	      30	  39312874 ns/op	30116964 B/op	 1006813 allocs/op
Benchmark/10000-4            	      50	  38556530 ns/op	30116380 B/op	 1006813 allocs/op
Benchmark/10000-4            	      30	  41558321 ns/op	30116964 B/op	 1006813 allocs/op
Benchmark/10000-4            	      30	  41123693 ns/op	30116968 B/op	 1006813 allocs/op
Benchmark/10000-4            	      30	  40187750 ns/op	30116968 B/op	 1006813 allocs/op
Benchmark/10000-4            	      50	  40065069 ns/op	30116380 B/op	 1006813 allocs/op
Benchmark/10000-4            	      30	  39212958 ns/op	30116964 B/op	 1006813 allocs/op
Benchmark/10000-4            	      50	  37733324 ns/op	30116378 B/op	 1006813 allocs/op
Benchmark/100000-4           	       3	 400179793 ns/op	319817648 B/op	10077133 allocs/op
Benchmark/100000-4           	       3	 428921071 ns/op	319817648 B/op	10077133 allocs/op
Benchmark/100000-4           	       3	 400705026 ns/op	319817648 B/op	10077133 allocs/op
Benchmark/100000-4           	       3	 439867799 ns/op	319817648 B/op	10077133 allocs/op
Benchmark/100000-4           	       3	 428463887 ns/op	319817648 B/op	10077133 allocs/op
Benchmark/100000-4           	       3	 395716746 ns/op	319817648 B/op	10077133 allocs/op
Benchmark/100000-4           	       3	 398734644 ns/op	319817648 B/op	10077133 allocs/op
Benchmark/100000-4           	       3	 408434681 ns/op	319817648 B/op	10077133 allocs/op
Benchmark/100000-4           	       3	 416413016 ns/op	319817648 B/op	10077133 allocs/op
Benchmark/100000-4           	       3	 518310773 ns/op	319817680 B/op	10077134 allocs/op
