Benchmark/1-4                	  500000	      3630 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3613 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3645 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3603 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3629 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3590 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3654 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3595 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3611 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3621 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   50000	     34428 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     33438 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     34008 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     33236 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     33491 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     33734 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     34428 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35783 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     33781 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     34610 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    5000	    334413 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    331210 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    338294 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    331558 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    329747 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    331412 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    337992 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    330637 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    325490 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    325197 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/1000-4             	     500	   3231660 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3231357 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3313785 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3341525 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3250073 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3300531 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3278115 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3262007 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3256414 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3305174 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/10000-4            	      50	  33788564 ns/op	16003241 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  32707644 ns/op	16003241 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  34317569 ns/op	16003241 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  33225657 ns/op	16003243 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  34915883 ns/op	16003243 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  34241711 ns/op	16003241 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  34180660 ns/op	16003243 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  33869634 ns/op	16003241 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  33994090 ns/op	16003241 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  33811351 ns/op	16003241 B/op	 1000001 allocs/op
Benchmark/100000-4           	       3	 378012570 ns/op	160541989 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 357185400 ns/op	160541957 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 371612568 ns/op	160541957 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 365593647 ns/op	160541957 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 389308130 ns/op	160541957 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 365085645 ns/op	160541957 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 371662457 ns/op	160541957 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 401462921 ns/op	160541957 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 361423391 ns/op	160541957 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 366914567 ns/op	160541957 B/op	10000263 allocs/op
