Benchmark/1-4                	  300000	      4708 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4402 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4522 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4211 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4444 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3554 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3950 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3693 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3796 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3748 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   50000	     35753 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36134 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35234 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36079 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35206 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35937 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35982 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35434 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35136 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36373 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    3000	    342622 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    335796 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    362366 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    344770 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    338394 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    344358 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    360539 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    341967 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    388293 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    372043 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4             	     500	   3463714 ns/op	 1600034 B/op	  100000 allocs/op
Benchmark/1000-4             	     300	   4082696 ns/op	 1600056 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3595107 ns/op	 1600034 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3609653 ns/op	 1600034 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3341309 ns/op	 1600034 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3297632 ns/op	 1600034 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3305584 ns/op	 1600034 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3319588 ns/op	 1600034 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3351036 ns/op	 1600034 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3609988 ns/op	 1600034 B/op	  100000 allocs/op
Benchmark/10000-4            	      30	  49577938 ns/op	30090305 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  37502234 ns/op	30090023 B/op	 1006800 allocs/op
Benchmark/10000-4            	      30	  42238709 ns/op	30090305 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  39731071 ns/op	30090023 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  38961379 ns/op	30090024 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  38186408 ns/op	30090023 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  36772725 ns/op	30090023 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  36673856 ns/op	30090023 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  36808076 ns/op	30090023 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  36721714 ns/op	30090023 B/op	 1006800 allocs/op
Benchmark/100000-4           	       3	 423803891 ns/op	319965450 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 398125574 ns/op	319965450 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 387504471 ns/op	319965450 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 416679826 ns/op	319965482 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 417207869 ns/op	319965450 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 395844843 ns/op	319965450 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 392211830 ns/op	319965450 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 391840247 ns/op	319965450 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 399440319 ns/op	319965450 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 401783705 ns/op	319965450 B/op	10077205 allocs/op
