Benchmark/1-4            	  500000	      3087 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3110 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3214 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3091 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3166 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3178 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3054 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3120 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      4419 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3168 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     31379 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31623 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31456 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34439 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34560 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     32836 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31684 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     30899 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31692 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31653 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    5000	    309135 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    322281 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    319499 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    338439 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    312115 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    313826 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    311472 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    325898 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    313579 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    319226 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   3140885 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3116686 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3122803 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3119167 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3138162 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3140660 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3202467 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3069566 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3127156 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3002695 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	      50	  31684513 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  30611011 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31145829 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  30882667 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  32470234 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  32245195 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  30944163 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31428453 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31881497 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  32568362 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/100000-4       	       3	 387366431 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 359864819 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 392807059 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 340465558 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 352343126 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 344271482 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 352944851 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 378825640 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 381221592 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 374370863 ns/op	160000000 B/op	10000000 allocs/op
