Benchmark/1-4            	  500000	      3659 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3679 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3684 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3720 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3897 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3830 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3721 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3737 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3678 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3915 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     37545 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36777 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37471 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37406 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     39001 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     39344 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37144 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37096 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     39402 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37021 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    5000	    364115 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    360031 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    365829 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    371887 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    380523 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    381008 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    371454 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    370552 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    366650 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    379082 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   4198115 ns/op	 2402900 B/op	  100387 allocs/op
Benchmark/1000-4         	     300	   4007945 ns/op	 2402886 B/op	  100387 allocs/op
Benchmark/1000-4         	     500	   3919394 ns/op	 2402900 B/op	  100387 allocs/op
Benchmark/1000-4         	     500	   4011196 ns/op	 2402891 B/op	  100387 allocs/op
Benchmark/1000-4         	     300	   3987176 ns/op	 2402900 B/op	  100387 allocs/op
Benchmark/1000-4         	     500	   3914552 ns/op	 2402908 B/op	  100387 allocs/op
Benchmark/1000-4         	     500	   3917235 ns/op	 2402900 B/op	  100387 allocs/op
Benchmark/1000-4         	     500	   3911295 ns/op	 2402908 B/op	  100387 allocs/op
Benchmark/1000-4         	     500	   4237484 ns/op	 2402900 B/op	  100387 allocs/op
Benchmark/1000-4         	     300	   4098564 ns/op	 2402886 B/op	  100387 allocs/op
Benchmark/10000-4        	      50	  38116520 ns/op	16647541 B/op	 1000312 allocs/op
Benchmark/10000-4        	      50	  39530408 ns/op	16647541 B/op	 1000312 allocs/op
Benchmark/10000-4        	      50	  38286936 ns/op	16647458 B/op	 1000312 allocs/op
Benchmark/10000-4        	      50	  38067968 ns/op	16647458 B/op	 1000312 allocs/op
Benchmark/10000-4        	      50	  38714769 ns/op	16647541 B/op	 1000312 allocs/op
Benchmark/10000-4        	      50	  38681090 ns/op	16647541 B/op	 1000312 allocs/op
Benchmark/10000-4        	      50	  39894572 ns/op	16647458 B/op	 1000312 allocs/op
Benchmark/10000-4        	      50	  41544735 ns/op	16647458 B/op	 1000312 allocs/op
Benchmark/10000-4        	      50	  41315148 ns/op	16647541 B/op	 1000312 allocs/op
Benchmark/10000-4        	      50	  40154632 ns/op	16647541 B/op	 1000312 allocs/op
Benchmark/100000-4       	       3	 392052385 ns/op	160984890 B/op	10000475 allocs/op
Benchmark/100000-4       	       3	 384614421 ns/op	160984890 B/op	10000475 allocs/op
Benchmark/100000-4       	       3	 403512224 ns/op	160984890 B/op	10000475 allocs/op
Benchmark/100000-4       	       3	 385488708 ns/op	160984890 B/op	10000475 allocs/op
Benchmark/100000-4       	       3	 398961162 ns/op	160984922 B/op	10000475 allocs/op
Benchmark/100000-4       	       3	 388086492 ns/op	160984890 B/op	10000475 allocs/op
Benchmark/100000-4       	       3	 399930093 ns/op	160984890 B/op	10000475 allocs/op
Benchmark/100000-4       	       3	 388614221 ns/op	160984922 B/op	10000475 allocs/op
Benchmark/100000-4       	       3	 424678673 ns/op	160984890 B/op	10000475 allocs/op
Benchmark/100000-4       	       3	 385539529 ns/op	160984890 B/op	10000475 allocs/op
