Benchmark/1-4            	  500000	      3958 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3559 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      3913 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3623 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3523 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3556 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      3552 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3602 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3695 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3992 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   30000	     38587 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     35616 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     38447 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36352 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36487 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36142 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     40129 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     37705 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37833 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36279 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    5000	    348368 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    350235 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    375495 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    353149 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    369521 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    366784 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    353977 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    368927 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    350484 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    358911 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   3663642 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3590922 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     300	   3515505 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3494582 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3454421 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3516160 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3479821 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3461804 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3447586 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3498020 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	      50	  38868998 ns/op	30115541 B/op	 1006812 allocs/op
Benchmark/10000-4        	      50	  38953799 ns/op	30115458 B/op	 1006812 allocs/op
Benchmark/10000-4        	      50	  39015272 ns/op	30115458 B/op	 1006812 allocs/op
Benchmark/10000-4        	      30	  42011687 ns/op	30115569 B/op	 1006812 allocs/op
Benchmark/10000-4        	      50	  40959949 ns/op	30115541 B/op	 1006812 allocs/op
Benchmark/10000-4        	      50	  46306101 ns/op	30115462 B/op	 1006812 allocs/op
Benchmark/10000-4        	      50	  40564706 ns/op	30115460 B/op	 1006812 allocs/op
Benchmark/10000-4        	      30	  39672731 ns/op	30115569 B/op	 1006812 allocs/op
Benchmark/10000-4        	      30	  39645243 ns/op	30115569 B/op	 1006812 allocs/op
Benchmark/10000-4        	      50	  40655487 ns/op	30115458 B/op	 1006812 allocs/op
Benchmark/100000-4       	       2	 544229998 ns/op	319803000 B/op	10077125 allocs/op
Benchmark/100000-4       	       3	 473940143 ns/op	319803754 B/op	10077126 allocs/op
Benchmark/100000-4       	       3	 446851213 ns/op	319803690 B/op	10077125 allocs/op
Benchmark/100000-4       	       3	 394071945 ns/op	319803690 B/op	10077125 allocs/op
Benchmark/100000-4       	       3	 415816147 ns/op	319803690 B/op	10077125 allocs/op
Benchmark/100000-4       	       3	 420418458 ns/op	319803690 B/op	10077125 allocs/op
Benchmark/100000-4       	       3	 410818456 ns/op	319803690 B/op	10077125 allocs/op
Benchmark/100000-4       	       3	 405868279 ns/op	319803690 B/op	10077125 allocs/op
Benchmark/100000-4       	       3	 422494162 ns/op	319803690 B/op	10077125 allocs/op
Benchmark/100000-4       	       3	 442688123 ns/op	319803690 B/op	10077125 allocs/op
