Benchmark/1-4            	  300000	      3964 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      4088 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4021 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3856 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3883 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3883 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3698 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3841 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4149 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3650 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     34740 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36384 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34225 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     35268 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34466 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     35043 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34193 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34403 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34461 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34715 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    5000	    326737 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    330590 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    333742 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    333313 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    337047 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3000	    349798 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    334890 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    345128 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    367359 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    345970 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   3408140 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3725106 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3855752 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3336815 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     300	   3397958 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3778422 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3510980 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3556643 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3685517 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     300	   3569042 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	      50	  34735435 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      30	  36751999 ns/op	16000003 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  34580003 ns/op	16000003 B/op	 1000000 allocs/op
Benchmark/10000-4        	      30	  37418141 ns/op	16000003 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  35469783 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  34169147 ns/op	16000001 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  33626512 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  34059079 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  33838494 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  34584815 ns/op	16000001 B/op	 1000000 allocs/op
Benchmark/100000-4       	       3	 346105796 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 353027563 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 336848794 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 335823768 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       5	 338615002 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       5	 331629857 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 335054539 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 341711620 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       5	 341641291 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 340495638 ns/op	160000000 B/op	10000000 allocs/op
