Benchmark/1-4            	  500000	      4124 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      4559 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4351 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4287 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      5032 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4486 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      4486 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4276 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4157 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4277 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     39553 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34721 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34222 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34079 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36582 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34901 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34257 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37048 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     35586 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36644 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    5000	    351849 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    356544 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    343106 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    340916 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    340171 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    384708 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    425849 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    376218 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3000	    376071 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    341579 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   3392865 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3494647 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3499202 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3417863 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3432873 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3375459 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3340348 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3400309 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3302625 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3315699 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	      50	  36736689 ns/op	30504000 B/op	 1007000 allocs/op
Benchmark/10000-4        	      50	  36783570 ns/op	30504000 B/op	 1007000 allocs/op
Benchmark/10000-4        	      50	  37143784 ns/op	30504000 B/op	 1007000 allocs/op
Benchmark/10000-4        	      50	  36677510 ns/op	30504000 B/op	 1007000 allocs/op
Benchmark/10000-4        	      50	  36818172 ns/op	30504000 B/op	 1007000 allocs/op
Benchmark/10000-4        	      50	  36649209 ns/op	30504000 B/op	 1007000 allocs/op
Benchmark/10000-4        	      50	  36695346 ns/op	30504000 B/op	 1007000 allocs/op
Benchmark/10000-4        	      50	  36817731 ns/op	30504000 B/op	 1007000 allocs/op
Benchmark/10000-4        	      50	  36785473 ns/op	30504000 B/op	 1007000 allocs/op
Benchmark/10000-4        	      50	  36609442 ns/op	30504000 B/op	 1007000 allocs/op
Benchmark/100000-4       	       3	 417819560 ns/op	319958464 B/op	10077200 allocs/op
Benchmark/100000-4       	       3	 419926501 ns/op	319958432 B/op	10077200 allocs/op
Benchmark/100000-4       	       3	 384534008 ns/op	319958400 B/op	10077200 allocs/op
Benchmark/100000-4       	       3	 386458792 ns/op	319958400 B/op	10077200 allocs/op
Benchmark/100000-4       	       3	 385209693 ns/op	319958400 B/op	10077200 allocs/op
Benchmark/100000-4       	       3	 412427732 ns/op	319958400 B/op	10077200 allocs/op
Benchmark/100000-4       	       3	 408357613 ns/op	319958400 B/op	10077200 allocs/op
Benchmark/100000-4       	       3	 390565899 ns/op	319958400 B/op	10077200 allocs/op
Benchmark/100000-4       	       3	 400253335 ns/op	319958400 B/op	10077200 allocs/op
Benchmark/100000-4       	       3	 462006359 ns/op	319958400 B/op	10077200 allocs/op
