Benchmark/1-4            	  500000	      3627 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3630 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3677 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3623 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3642 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3606 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3672 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3586 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3611 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3728 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     36606 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36822 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37419 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36503 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37243 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36659 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     41231 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     38913 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     41354 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     38079 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    3000	    371463 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3000	    365836 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3000	    370775 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    369421 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    369101 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    363591 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    355924 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    363834 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    361290 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    355934 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   3551851 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3542215 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3516137 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3571260 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3526235 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3569916 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3523155 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3635309 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3651226 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     300	   3705554 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	      50	  43012563 ns/op	16000001 B/op	 1000000 allocs/op
Benchmark/10000-4        	      30	  37208254 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  37133747 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  36587986 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  36548472 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  36525639 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  36882852 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  36917086 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  38114994 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  37588392 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/100000-4       	       2	1053819253 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	1096944770 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 697740398 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 691825114 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 820926967 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 812755021 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 900620402 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 687672131 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 698205111 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 718834899 ns/op	631859200 B/op	10000400 allocs/op
