Benchmark/1-4            	  300000	      3782 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3675 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      3607 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3691 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3681 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3748 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      4038 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      4682 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3896 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3778 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     37946 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37607 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     38401 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     40371 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     37831 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     56724 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     40621 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37885 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     38912 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37445 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    5000	    362995 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3000	    361574 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3000	    362614 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    368154 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    368139 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    369560 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    360448 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    374061 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    362291 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    359108 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   3547800 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3553362 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3688304 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3532639 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3569432 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3552313 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3603820 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3609673 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3593227 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3570857 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	      50	  36372219 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  36390108 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  36538331 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  37786775 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  42467371 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      30	  40198949 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  38486211 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  37097937 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  37046151 ns/op	16000001 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  37821704 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/100000-4       	       2	 692881087 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 706375440 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 710673362 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 682747193 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 690872189 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 679872249 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 679845551 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 693947346 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 681611590 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 690001083 ns/op	631859200 B/op	10000400 allocs/op
