Benchmark/1-4            	  300000	      4365 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  300000	      4309 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  300000	      4079 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  500000	      4425 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  300000	      4250 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  500000	      4231 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  300000	      4369 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  500000	      4192 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  300000	      4134 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  500000	      4052 ns/op	    3225 B/op	     101 allocs/op
Benchmark/10-4           	   50000	     40114 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   50000	     40079 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   50000	     39985 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   30000	     42419 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   50000	     42351 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   50000	     47696 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   30000	     53878 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   30000	     39882 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   50000	     40770 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   30000	     45874 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/100-4          	    3000	    418957 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    5000	    407024 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    5000	    392624 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    3000	    395773 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    5000	    384859 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    5000	    387132 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    3000	    413302 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    3000	    405073 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    5000	    384479 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    5000	    389558 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/1000-4         	     300	   3798363 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     500	   4309118 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     300	   3926907 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     300	   4180935 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     300	   4167380 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     300	   4187617 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     300	   3857436 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     500	   3765079 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     500	   4055943 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     300	   3862681 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/10000-4        	      50	  45350947 ns/op	32250003 B/op	 1015625 allocs/op
Benchmark/10000-4        	      50	  38649411 ns/op	32250001 B/op	 1015625 allocs/op
Benchmark/10000-4        	      50	  40166646 ns/op	32250000 B/op	 1015625 allocs/op
Benchmark/10000-4        	      50	  42831381 ns/op	32250001 B/op	 1015625 allocs/op
Benchmark/10000-4        	      50	  38704277 ns/op	32250000 B/op	 1015625 allocs/op
Benchmark/10000-4        	      50	  40305567 ns/op	32250000 B/op	 1015625 allocs/op
Benchmark/10000-4        	      30	  38767030 ns/op	32250003 B/op	 1015625 allocs/op
Benchmark/10000-4        	      30	  40098680 ns/op	32250003 B/op	 1015625 allocs/op
Benchmark/10000-4        	      30	  39757636 ns/op	32250000 B/op	 1015625 allocs/op
Benchmark/10000-4        	      50	  39718689 ns/op	32250001 B/op	 1015625 allocs/op
Benchmark/100000-4       	       3	 438766505 ns/op	322500064 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 389486021 ns/op	322500000 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 387747679 ns/op	322500000 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 395194343 ns/op	322500000 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 401702913 ns/op	322500000 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 474581916 ns/op	322500000 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 388970818 ns/op	322500000 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 428141415 ns/op	322500032 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 403590396 ns/op	322500000 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 408364554 ns/op	322500000 B/op	10156250 allocs/op
