Benchmark/1-4            	  300000	      4317 ns/op	    3325 B/op	     104 allocs/op
Benchmark/1-4            	  300000	      4346 ns/op	    3325 B/op	     104 allocs/op
Benchmark/1-4            	  300000	      4310 ns/op	    3325 B/op	     104 allocs/op
Benchmark/1-4            	  300000	      4293 ns/op	    3325 B/op	     104 allocs/op
Benchmark/1-4            	  300000	      4280 ns/op	    3325 B/op	     104 allocs/op
Benchmark/1-4            	  300000	      4292 ns/op	    3325 B/op	     104 allocs/op
Benchmark/1-4            	  300000	      4352 ns/op	    3325 B/op	     104 allocs/op
Benchmark/1-4            	  300000	      4273 ns/op	    3325 B/op	     104 allocs/op
Benchmark/1-4            	  300000	      4320 ns/op	    3325 B/op	     104 allocs/op
Benchmark/1-4            	  300000	      4305 ns/op	    3325 B/op	     104 allocs/op
Benchmark/10-4           	   30000	     43968 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/10-4           	   30000	     43527 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/10-4           	   30000	     43512 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/10-4           	   30000	     43547 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/10-4           	   30000	     43719 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/10-4           	   30000	     43549 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/10-4           	   30000	     43774 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/10-4           	   30000	     43925 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/10-4           	   30000	     43685 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/10-4           	   30000	     43355 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/100-4          	    3000	    421012 ns/op	  332500 B/op	   10468 allocs/op
Benchmark/100-4          	    3000	    422257 ns/op	  332500 B/op	   10468 allocs/op
Benchmark/100-4          	    3000	    418165 ns/op	  332500 B/op	   10468 allocs/op
Benchmark/100-4          	    3000	    419208 ns/op	  332500 B/op	   10468 allocs/op
Benchmark/100-4          	    3000	    420321 ns/op	  332500 B/op	   10468 allocs/op
Benchmark/100-4          	    3000	    423564 ns/op	  332500 B/op	   10468 allocs/op
Benchmark/100-4          	    3000	    420588 ns/op	  332500 B/op	   10468 allocs/op
Benchmark/100-4          	    3000	    421945 ns/op	  332500 B/op	   10468 allocs/op
Benchmark/100-4          	    3000	    419559 ns/op	  332500 B/op	   10468 allocs/op
Benchmark/100-4          	    3000	    420963 ns/op	  332500 B/op	   10468 allocs/op
Benchmark/1000-4         	     300	   4216537 ns/op	 3325000 B/op	  104687 allocs/op
Benchmark/1000-4         	     300	   4171326 ns/op	 3325000 B/op	  104687 allocs/op
Benchmark/1000-4         	     300	   4195225 ns/op	 3325000 B/op	  104687 allocs/op
Benchmark/1000-4         	     300	   4210853 ns/op	 3325000 B/op	  104687 allocs/op
Benchmark/1000-4         	     300	   4240158 ns/op	 3325000 B/op	  104687 allocs/op
Benchmark/1000-4         	     300	   4193064 ns/op	 3325000 B/op	  104687 allocs/op
Benchmark/1000-4         	     300	   4195866 ns/op	 3325000 B/op	  104687 allocs/op
Benchmark/1000-4         	     300	   4229327 ns/op	 3325000 B/op	  104687 allocs/op
Benchmark/1000-4         	     300	   4208265 ns/op	 3325000 B/op	  104687 allocs/op
Benchmark/1000-4         	     300	   4194702 ns/op	 3325000 B/op	  104687 allocs/op
Benchmark/10000-4        	      30	  41449021 ns/op	33250000 B/op	 1046875 allocs/op
Benchmark/10000-4        	      30	  41729893 ns/op	33250000 B/op	 1046875 allocs/op
Benchmark/10000-4        	      30	  41388981 ns/op	33250000 B/op	 1046875 allocs/op
Benchmark/10000-4        	      30	  41545942 ns/op	33250000 B/op	 1046875 allocs/op
Benchmark/10000-4        	      30	  41347926 ns/op	33250000 B/op	 1046875 allocs/op
Benchmark/10000-4        	      30	  41466913 ns/op	33250000 B/op	 1046875 allocs/op
Benchmark/10000-4        	      30	  41939172 ns/op	33250000 B/op	 1046875 allocs/op
Benchmark/10000-4        	      30	  41331946 ns/op	33250000 B/op	 1046875 allocs/op
Benchmark/10000-4        	      30	  41462008 ns/op	33250000 B/op	 1046875 allocs/op
Benchmark/10000-4        	      30	  41370346 ns/op	33250000 B/op	 1046875 allocs/op
Benchmark/100000-4       	       3	 426254759 ns/op	332500032 B/op	10468750 allocs/op
Benchmark/100000-4       	       3	 425071127 ns/op	332500000 B/op	10468750 allocs/op
Benchmark/100000-4       	       3	 431119532 ns/op	332500000 B/op	10468750 allocs/op
Benchmark/100000-4       	       3	 428812685 ns/op	332500000 B/op	10468750 allocs/op
Benchmark/100000-4       	       3	 430397407 ns/op	332500000 B/op	10468750 allocs/op
Benchmark/100000-4       	       3	 426481745 ns/op	332500000 B/op	10468750 allocs/op
Benchmark/100000-4       	       3	 426946413 ns/op	332500000 B/op	10468750 allocs/op
Benchmark/100000-4       	       3	 426875697 ns/op	332500000 B/op	10468750 allocs/op
Benchmark/100000-4       	       3	 426594324 ns/op	332500000 B/op	10468750 allocs/op
Benchmark/100000-4       	       3	 442678423 ns/op	332500000 B/op	10468750 allocs/op
