Benchmark/1-4            	  500000	      3596 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3633 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      4330 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      5129 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4495 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4496 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4801 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4834 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4476 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      4776 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   30000	     39595 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     38944 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     42563 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     38149 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     40194 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     41941 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     39345 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     41901 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     43881 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     39774 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    3000	    503353 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4          	    3000	    529460 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4          	    3000	    531880 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4          	    3000	    593863 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4          	    2000	    528820 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4          	    3000	    503800 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4          	    3000	    520166 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4          	    3000	    518832 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4          	    3000	    450606 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4          	    3000	    497664 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/1000-4         	     300	   4880505 ns/op	 3366400 B/op	  104800 allocs/op
Benchmark/1000-4         	     300	   4287178 ns/op	 3366400 B/op	  104800 allocs/op
Benchmark/1000-4         	     300	   5183227 ns/op	 3366400 B/op	  104800 allocs/op
Benchmark/1000-4         	     300	   4432627 ns/op	 3366400 B/op	  104800 allocs/op
Benchmark/1000-4         	     300	   4548838 ns/op	 3366400 B/op	  104800 allocs/op
Benchmark/1000-4         	     300	   5057742 ns/op	 3366400 B/op	  104800 allocs/op
Benchmark/1000-4         	     300	   4347660 ns/op	 3366400 B/op	  104800 allocs/op
Benchmark/1000-4         	     300	   4813265 ns/op	 3366400 B/op	  104800 allocs/op
Benchmark/1000-4         	     300	   5033659 ns/op	 3366400 B/op	  104800 allocs/op
Benchmark/1000-4         	     300	   4515470 ns/op	 3366400 B/op	  104800 allocs/op
Benchmark/10000-4        	      30	  49250274 ns/op	33222400 B/op	 1046800 allocs/op
Benchmark/10000-4        	      30	  51649242 ns/op	33222400 B/op	 1046800 allocs/op
Benchmark/10000-4        	      30	  49578952 ns/op	33222400 B/op	 1046800 allocs/op
Benchmark/10000-4        	      30	  54558257 ns/op	33222400 B/op	 1046800 allocs/op
Benchmark/10000-4        	      30	  52507707 ns/op	33222400 B/op	 1046800 allocs/op
Benchmark/10000-4        	      30	  46787192 ns/op	33222400 B/op	 1046800 allocs/op
Benchmark/10000-4        	      30	  46325175 ns/op	33222400 B/op	 1046800 allocs/op
Benchmark/10000-4        	      30	  51284009 ns/op	33222403 B/op	 1046800 allocs/op
Benchmark/10000-4        	      30	  43881392 ns/op	33222400 B/op	 1046800 allocs/op
Benchmark/10000-4        	      30	  43310242 ns/op	33222400 B/op	 1046800 allocs/op
Benchmark/100000-4       	       2	 527772953 ns/op	332555200 B/op	10468900 allocs/op
Benchmark/100000-4       	       3	 442064955 ns/op	332555200 B/op	10468900 allocs/op
Benchmark/100000-4       	       2	 541310375 ns/op	332555200 B/op	10468900 allocs/op
Benchmark/100000-4       	       2	 551626689 ns/op	332555200 B/op	10468900 allocs/op
Benchmark/100000-4       	       3	 492059299 ns/op	332555200 B/op	10468900 allocs/op
Benchmark/100000-4       	       2	 573223528 ns/op	332555200 B/op	10468900 allocs/op
Benchmark/100000-4       	       3	 440266180 ns/op	332555200 B/op	10468900 allocs/op
Benchmark/100000-4       	       2	 540121951 ns/op	332555200 B/op	10468900 allocs/op
Benchmark/100000-4       	       3	 436027225 ns/op	332555200 B/op	10468900 allocs/op
Benchmark/100000-4       	       2	 508494128 ns/op	332555200 B/op	10468900 allocs/op
