Benchmark/1-4            	  200000	      8632 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8049 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8444 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8276 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8315 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8142 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8189 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8053 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8031 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8002 ns/op	    6400 B/op	     200 allocs/op
Benchmark/10-4           	   20000	     85095 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     79829 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     82981 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     83115 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     81158 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     80977 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     82117 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     79569 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     80055 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     79956 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/100-4          	    2000	    802890 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    799371 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    779552 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    809371 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    812102 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    780587 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    803290 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    824587 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    811517 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    803385 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/1000-4         	     200	   8402082 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   8081567 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   9117784 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   9001064 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   8752362 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   8428354 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   7960725 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   8100445 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   8059980 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   7886742 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/10000-4        	      20	  85221013 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  92745252 ns/op	64000004 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  85780815 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  86693653 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  82844223 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  84186229 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  84468064 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  90326712 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  88444032 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  84885642 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/100000-4       	       1	1644489962 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1641867176 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1605167060 ns/op	640000096 B/op	20000001 allocs/op
Benchmark/100000-4       	       1	1531063710 ns/op	640000096 B/op	20000001 allocs/op
Benchmark/100000-4       	       1	1711339453 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1618318204 ns/op	640000096 B/op	20000001 allocs/op
Benchmark/100000-4       	       1	1550199732 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1504012200 ns/op	640000096 B/op	20000001 allocs/op
Benchmark/100000-4       	       1	1576091211 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1699747547 ns/op	640000000 B/op	20000000 allocs/op
