Benchmark/1-4            	  200000	      8319 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8066 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8375 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8266 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8276 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8223 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8721 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8159 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8596 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8254 ns/op	    6400 B/op	     200 allocs/op
Benchmark/10-4           	   20000	     88438 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     83637 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     83297 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     85517 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     84958 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     82043 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     82835 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     84521 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     82566 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     84918 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/100-4          	    2000	    839764 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    840502 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    815791 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    829594 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    831973 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    836819 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    815712 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    850601 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    820371 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    826731 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/1000-4         	     200	   8494601 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   8380680 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   8359697 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   8339254 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   8480711 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   8241375 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   8346764 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   8821769 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   9754906 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   9470388 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/10000-4        	      10	 111978962 ns/op	64000019 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  86905119 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  96620934 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	 105484735 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      10	 100123482 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  98835585 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  96166961 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  94946288 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  94124556 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  93568114 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/100000-4       	       1	1607497417 ns/op	640000096 B/op	20000001 allocs/op
Benchmark/100000-4       	       1	1672320462 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1528855324 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1554110532 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1659113885 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1569353332 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1737092015 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1480406335 ns/op	640000096 B/op	20000001 allocs/op
Benchmark/100000-4       	       1	1741334008 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1640070966 ns/op	640000000 B/op	20000000 allocs/op
