Benchmark/1-4            	  500000	      3948 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      3973 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3906 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4132 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3977 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3925 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3900 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      4022 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3908 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      3913 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     40032 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     38162 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     38289 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     39371 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     39100 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     39200 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     39916 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     38925 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     39513 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     41705 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    3000	    396507 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3000	    383425 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    378387 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3000	    393149 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    398029 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    402616 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    372926 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    373301 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    367875 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    376132 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   3960679 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     300	   4151068 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     300	   3941005 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3815474 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3878780 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3654386 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3923548 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3789987 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3684886 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3761997 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	      50	  38973682 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      30	  38499937 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  38428832 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  39005105 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  39640171 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      30	  43029380 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      30	  47733198 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      30	  39354893 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  38139103 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  38293928 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/100000-4       	       2	 718861145 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 723902305 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 695441847 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 697829236 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 699133257 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 712198260 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 703258739 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 701043085 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 708821559 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 706014246 ns/op	631859200 B/op	10000400 allocs/op
