Benchmark/1-4            	  300000	      4081 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3855 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3792 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      4791 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      3995 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3950 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      3769 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3739 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3825 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3785 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     37710 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37346 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37861 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37559 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     38229 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     38354 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37179 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37548 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     38002 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     38665 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    5000	    368389 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    364664 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    375573 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    370385 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    370111 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    373919 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    387572 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3000	    381727 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    370944 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    361056 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   3669494 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3617587 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3614723 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3773878 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3709498 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3747269 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3694990 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3637881 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3748835 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3691929 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	      30	  38174349 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  37128069 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  38005788 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  39232094 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      30	  37919586 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  38795515 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  38031287 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      30	  38874022 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      30	  39489086 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  37708483 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/100000-4       	       2	 734882156 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 769089023 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 711980352 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 701305598 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 706975914 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 790137083 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 730926081 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 718406173 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 716319691 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 750790901 ns/op	631859200 B/op	10000400 allocs/op
