Benchmark/1-4            	  500000	      3877 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      4027 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      4075 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      4254 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4038 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      5387 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4065 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4564 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4256 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      4294 ns/op	    4815 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     40421 ns/op	   48172 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     38312 ns/op	   48174 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     38752 ns/op	   48174 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     39972 ns/op	   48174 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     40849 ns/op	   48175 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     40841 ns/op	   48174 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     38732 ns/op	   48172 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     43046 ns/op	   48172 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     41970 ns/op	   48172 B/op	    1000 allocs/op
Benchmark/10-4           	   30000	     41016 ns/op	   48172 B/op	    1000 allocs/op
Benchmark/100-4          	    5000	    388095 ns/op	  482704 B/op	   10003 allocs/op
Benchmark/100-4          	    5000	    399251 ns/op	  482725 B/op	   10003 allocs/op
Benchmark/100-4          	    5000	    384086 ns/op	  482704 B/op	   10003 allocs/op
Benchmark/100-4          	    5000	    515036 ns/op	  482725 B/op	   10003 allocs/op
Benchmark/100-4          	    3000	    388713 ns/op	  482718 B/op	   10003 allocs/op
Benchmark/100-4          	    5000	    385126 ns/op	  482704 B/op	   10003 allocs/op
Benchmark/100-4          	    5000	    541717 ns/op	  482725 B/op	   10003 allocs/op
Benchmark/100-4          	    3000	    380678 ns/op	  482718 B/op	   10003 allocs/op
Benchmark/100-4          	    5000	    431501 ns/op	  482704 B/op	   10003 allocs/op
Benchmark/100-4          	    5000	    385405 ns/op	  482725 B/op	   10003 allocs/op
Benchmark/1000-4         	     300	   6157035 ns/op	 5149866 B/op	  100033 allocs/op
Benchmark/1000-4         	     300	   4023011 ns/op	 5149866 B/op	  100033 allocs/op
Benchmark/1000-4         	     500	   4093628 ns/op	 5149937 B/op	  100033 allocs/op
Benchmark/1000-4         	     300	   4071299 ns/op	 5149866 B/op	  100033 allocs/op
Benchmark/1000-4         	     300	   3896619 ns/op	 5149866 B/op	  100033 allocs/op
Benchmark/1000-4         	     300	   4162433 ns/op	 5149866 B/op	  100033 allocs/op
Benchmark/1000-4         	     300	   4299416 ns/op	 5149866 B/op	  100033 allocs/op
Benchmark/1000-4         	     500	   4062778 ns/op	 5149937 B/op	  100033 allocs/op
Benchmark/1000-4         	     300	   4289306 ns/op	 5149866 B/op	  100033 allocs/op
Benchmark/1000-4         	     300	   4976599 ns/op	 5149866 B/op	  100033 allocs/op
Benchmark/10000-4        	      30	  40472795 ns/op	52044803 B/op	 1000250 allocs/op
Benchmark/10000-4        	      30	  39795432 ns/op	52044800 B/op	 1000250 allocs/op
Benchmark/10000-4        	      50	  39196648 ns/op	52044800 B/op	 1000250 allocs/op
Benchmark/10000-4        	      50	  39107792 ns/op	52044801 B/op	 1000250 allocs/op
Benchmark/10000-4        	      30	  43866306 ns/op	52044800 B/op	 1000250 allocs/op
Benchmark/10000-4        	      30	  40402246 ns/op	52044800 B/op	 1000250 allocs/op
Benchmark/10000-4        	      30	  40098167 ns/op	52044800 B/op	 1000250 allocs/op
Benchmark/10000-4        	      30	  40823271 ns/op	52044800 B/op	 1000250 allocs/op
Benchmark/10000-4        	      30	  40914360 ns/op	52044800 B/op	 1000250 allocs/op
Benchmark/10000-4        	      30	  42846028 ns/op	52044800 B/op	 1000250 allocs/op
Benchmark/100000-4       	       1	1017977502 ns/op	551094272 B/op	10000739 allocs/op
Benchmark/100000-4       	       2	 938513641 ns/op	551086080 B/op	10000740 allocs/op
Benchmark/100000-4       	       2	 864947020 ns/op	551086080 B/op	10000740 allocs/op
Benchmark/100000-4       	       2	 862422905 ns/op	551086080 B/op	10000740 allocs/op
Benchmark/100000-4       	       2	 999329414 ns/op	551086080 B/op	10000740 allocs/op
Benchmark/100000-4       	       2	 890746345 ns/op	551086080 B/op	10000740 allocs/op
Benchmark/100000-4       	       2	 946667654 ns/op	551086080 B/op	10000740 allocs/op
Benchmark/100000-4       	       2	 830100185 ns/op	551086080 B/op	10000740 allocs/op
Benchmark/100000-4       	       2	 840637527 ns/op	551086080 B/op	10000740 allocs/op
Benchmark/100000-4       	       1	1097024995 ns/op	551086080 B/op	10000740 allocs/op
