Benchmark/1-4            	  500000	      3014 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      4196 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3407 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3073 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3388 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3222 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3080 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      2988 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      2969 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      2866 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     30341 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     29111 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     30140 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     32364 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     33886 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     29807 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     29185 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     27775 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     28223 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     29250 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    5000	    272317 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    357354 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    282351 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    291544 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    282589 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    298548 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    283883 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    291900 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    287272 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    304479 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   4199119 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3328177 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   2755949 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   2773723 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   2943648 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3004259 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3045940 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3073383 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   2883669 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   2873602 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	      50	  28856711 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  27797832 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  28246793 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  29994641 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  27957363 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31194404 ns/op	16000001 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  28194330 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31289247 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  30038173 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  29206220 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/100000-4       	       3	 355632693 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 340112944 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 334708397 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 338031876 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       5	 339056864 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       5	 331077430 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       5	 339535493 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       5	 330003633 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 364318231 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 338067078 ns/op	160000000 B/op	10000000 allocs/op
