Benchmark/1-4                	  500000	      3850 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3850 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3856 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3865 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3863 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3825 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3821 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3853 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3846 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3829 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   50000	     36719 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36171 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36355 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35877 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36658 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35836 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35941 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36536 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36188 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36355 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    3000	    515065 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    507791 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    517705 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    507662 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    507480 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    520890 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    506775 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    508466 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    511597 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    507235 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/1000-4             	     300	   4533180 ns/op	 6438401 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4494345 ns/op	 6438401 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4470081 ns/op	 6438401 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4551549 ns/op	 6438401 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4492033 ns/op	 6438401 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4472778 ns/op	 6438401 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4458361 ns/op	 6438401 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4539021 ns/op	 6438401 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4473731 ns/op	 6438401 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4517709 ns/op	 6438401 B/op	  101200 allocs/op
Benchmark/10000-4            	      30	  51492014 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      30	  51320399 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      30	  51275026 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      30	  51859029 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      30	  51568898 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      30	  51663336 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      30	  52277330 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      20	  51319078 ns/op	94566415 B/op	 1002000 allocs/op
Benchmark/10000-4            	      30	  52097616 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      20	  52833777 ns/op	94566415 B/op	 1002000 allocs/op
Benchmark/100000-4           	       2	 686582915 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 694036409 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 703647961 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 693769910 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 698238732 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 701978381 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 685924007 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 690805208 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 686772206 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 704148175 ns/op	789068952 B/op	10002601 allocs/op
