Benchmark/1-4                	  500000	      3657 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3639 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3700 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3664 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3700 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3657 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3666 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3685 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3684 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3672 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   50000	     36313 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35787 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35777 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35722 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36001 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35525 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35794 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36518 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36155 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35908 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    3000	    508240 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    505624 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    503096 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    506735 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    502582 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    502854 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    508420 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    505443 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    508209 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    507370 ns/op	  697600 B/op	   10600 allocs/op
Benchmark/1000-4             	     300	   4450985 ns/op	 6438402 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4413418 ns/op	 6438402 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4501117 ns/op	 6438402 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4425702 ns/op	 6438402 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4430845 ns/op	 6438401 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4467025 ns/op	 6438403 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4431804 ns/op	 6438401 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4428948 ns/op	 6438401 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4453983 ns/op	 6438401 B/op	  101200 allocs/op
Benchmark/1000-4             	     300	   4459313 ns/op	 6438401 B/op	  101200 allocs/op
Benchmark/10000-4            	      30	  50897588 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      30	  51379683 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      30	  50791209 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      30	  50973891 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      30	  51451989 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      30	  50937807 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      30	  51059910 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      30	  51279476 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      30	  51263511 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/10000-4            	      30	  50841293 ns/op	94566410 B/op	 1002000 allocs/op
Benchmark/100000-4           	       2	 697122379 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 689992043 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 693432371 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 690309515 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 704529134 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 686117217 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 687687050 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 696308779 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 698144369 ns/op	789068952 B/op	10002601 allocs/op
Benchmark/100000-4           	       2	 696348714 ns/op	789068952 B/op	10002601 allocs/op
