Benchmark/1-4                	  200000	     10078 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	      9947 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	     10095 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	     10571 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	      9487 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	      9617 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	     10103 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	      9687 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	     10650 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	     10112 ns/op	    6400 B/op	     300 allocs/op
Benchmark/10-4               	   20000	     76871 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     74199 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     75247 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     72654 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     78395 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     74748 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     71458 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     77688 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     70898 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     74954 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/100-4              	    3000	    456195 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    445995 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    426816 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    435416 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    453582 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    428044 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    444143 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    438658 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    427510 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    459588 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/1000-4             	     300	   3964660 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     500	   3703902 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     500	   4011519 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     300	   3987424 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     500	   4003637 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     300	   3866097 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     500	   3919609 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     500	   4030778 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     300	   4012221 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     300	   3966734 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/10000-4            	      30	  38043626 ns/op	32276801 B/op	 1016200 allocs/op
Benchmark/10000-4            	      50	  41234133 ns/op	32276802 B/op	 1016200 allocs/op
Benchmark/10000-4            	      30	  39930111 ns/op	32276801 B/op	 1016200 allocs/op
Benchmark/10000-4            	      30	  38729338 ns/op	32276801 B/op	 1016200 allocs/op
Benchmark/10000-4            	      30	  38541774 ns/op	32276804 B/op	 1016200 allocs/op
Benchmark/10000-4            	      50	  38295432 ns/op	32276800 B/op	 1016200 allocs/op
Benchmark/10000-4            	      30	  38966774 ns/op	32276804 B/op	 1016200 allocs/op
Benchmark/10000-4            	      50	  39963487 ns/op	32276800 B/op	 1016200 allocs/op
Benchmark/10000-4            	      30	  39468501 ns/op	32276801 B/op	 1016200 allocs/op
Benchmark/10000-4            	      30	  37615169 ns/op	32276801 B/op	 1016200 allocs/op
Benchmark/100000-4           	       3	 395845720 ns/op	322708816 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 437818451 ns/op	322708816 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 521892238 ns/op	322708848 B/op	10157000 allocs/op
Benchmark/100000-4           	       2	 687538353 ns/op	322708824 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 413946409 ns/op	322708816 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 390082521 ns/op	322708816 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 443554525 ns/op	322708816 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 403242853 ns/op	322708816 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 391163185 ns/op	322708816 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 391451813 ns/op	322708816 B/op	10157000 allocs/op
