Benchmark/1-4                	  300000	      4236 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3912 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3901 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4203 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4082 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3851 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4206 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4325 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3961 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      4029 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   30000	     48844 ns/op	   29800 B/op	    1037 allocs/op
Benchmark/10-4               	   30000	     41801 ns/op	   29800 B/op	    1037 allocs/op
Benchmark/10-4               	   30000	     48378 ns/op	   29800 B/op	    1037 allocs/op
Benchmark/10-4               	   30000	     45152 ns/op	   29800 B/op	    1037 allocs/op
Benchmark/10-4               	   30000	     41486 ns/op	   29800 B/op	    1037 allocs/op
Benchmark/10-4               	   30000	     48852 ns/op	   29800 B/op	    1037 allocs/op
Benchmark/10-4               	   30000	     44190 ns/op	   29800 B/op	    1037 allocs/op
Benchmark/10-4               	   30000	     44675 ns/op	   29800 B/op	    1037 allocs/op
Benchmark/10-4               	   30000	     48498 ns/op	   29800 B/op	    1037 allocs/op
Benchmark/10-4               	   30000	     41948 ns/op	   29800 B/op	    1037 allocs/op
Benchmark/100-4              	    3000	    435570 ns/op	  325600 B/op	   10450 allocs/op
Benchmark/100-4              	    3000	    479859 ns/op	  325600 B/op	   10450 allocs/op
Benchmark/100-4              	    3000	    434420 ns/op	  325600 B/op	   10450 allocs/op
Benchmark/100-4              	    3000	    412102 ns/op	  325600 B/op	   10450 allocs/op
Benchmark/100-4              	    3000	    463625 ns/op	  325600 B/op	   10450 allocs/op
Benchmark/100-4              	    3000	    496231 ns/op	  325600 B/op	   10450 allocs/op
Benchmark/100-4              	    3000	    499741 ns/op	  325600 B/op	   10450 allocs/op
Benchmark/100-4              	    3000	    485629 ns/op	  325600 B/op	   10450 allocs/op
Benchmark/100-4              	    3000	    494506 ns/op	  325600 B/op	   10450 allocs/op
Benchmark/100-4              	    3000	    441258 ns/op	  325600 B/op	   10450 allocs/op
Benchmark/1000-4             	     300	   4323463 ns/op	 3311203 B/op	  104650 allocs/op
Benchmark/1000-4             	     300	   4992936 ns/op	 3311203 B/op	  104650 allocs/op
Benchmark/1000-4             	     300	   4101028 ns/op	 3311203 B/op	  104650 allocs/op
Benchmark/1000-4             	     300	   4502874 ns/op	 3311204 B/op	  104650 allocs/op
Benchmark/1000-4             	     300	   4901636 ns/op	 3311204 B/op	  104650 allocs/op
Benchmark/1000-4             	     300	   4103717 ns/op	 3311203 B/op	  104650 allocs/op
Benchmark/1000-4             	     300	   4744951 ns/op	 3311203 B/op	  104650 allocs/op
Benchmark/1000-4             	     300	   4679176 ns/op	 3311203 B/op	  104650 allocs/op
Benchmark/1000-4             	     300	   4145160 ns/op	 3311204 B/op	  104650 allocs/op
Benchmark/1000-4             	     300	   4794314 ns/op	 3311203 B/op	  104650 allocs/op
Benchmark/10000-4            	      30	  48331780 ns/op	33222439 B/op	 1046800 allocs/op
Benchmark/10000-4            	      30	  44481943 ns/op	33222439 B/op	 1046800 allocs/op
Benchmark/10000-4            	      30	  46107051 ns/op	33222442 B/op	 1046800 allocs/op
Benchmark/10000-4            	      30	  49876003 ns/op	33222445 B/op	 1046800 allocs/op
Benchmark/10000-4            	      30	  48351156 ns/op	33222442 B/op	 1046800 allocs/op
Benchmark/10000-4            	      30	  50354535 ns/op	33222442 B/op	 1046800 allocs/op
Benchmark/10000-4            	      20	  55324628 ns/op	33222464 B/op	 1046800 allocs/op
Benchmark/10000-4            	      30	  50673342 ns/op	33222442 B/op	 1046800 allocs/op
Benchmark/10000-4            	      30	  47757097 ns/op	33222439 B/op	 1046800 allocs/op
Benchmark/10000-4            	      30	  53951575 ns/op	33222452 B/op	 1046800 allocs/op
Benchmark/100000-4           	       2	 524747574 ns/op	332445392 B/op	10468602 allocs/op
Benchmark/100000-4           	       3	 488432163 ns/op	332445226 B/op	10468601 allocs/op
Benchmark/100000-4           	       2	 541419768 ns/op	332445392 B/op	10468602 allocs/op
Benchmark/100000-4           	       3	 460236514 ns/op	332445194 B/op	10468601 allocs/op
Benchmark/100000-4           	       2	 538733496 ns/op	332445392 B/op	10468602 allocs/op
Benchmark/100000-4           	       3	 447551253 ns/op	332445194 B/op	10468601 allocs/op
Benchmark/100000-4           	       2	 518114661 ns/op	332445392 B/op	10468602 allocs/op
Benchmark/100000-4           	       3	 444185891 ns/op	332445194 B/op	10468601 allocs/op
Benchmark/100000-4           	       3	 514612567 ns/op	332445194 B/op	10468601 allocs/op
Benchmark/100000-4           	       3	 447841940 ns/op	332445194 B/op	10468601 allocs/op
