Benchmark/1-4                	  200000	      7552 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7179 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7367 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7666 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7331 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7201 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7176 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7469 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      9642 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7287 ns/op	    6400 B/op	     200 allocs/op
Benchmark/10-4               	   20000	     73271 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     68522 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     81619 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     77511 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     75586 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     72511 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     72623 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     74380 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     68900 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     76751 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/100-4              	    2000	    730397 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    717271 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    717398 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    735912 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    696114 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    708584 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    712512 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    719520 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    708013 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    677364 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/1000-4             	     200	   7227309 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   9487534 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   8326797 ns/op	 6400001 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   6953032 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   7292747 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   7070977 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   7173328 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   7161592 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   7314350 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   6833681 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/10000-4            	      20	  80939703 ns/op	64000007 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  81413114 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  74294948 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  69628257 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  82912895 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  78021974 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  75384765 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  74667304 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  72371631 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  69447237 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/100000-4           	       1	2044743804 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2221377684 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2040066452 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2297717713 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2011816235 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2031734287 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2127419927 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	1835289192 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2054251325 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	1995762761 ns/op	640000048 B/op	20000001 allocs/op
