Benchmark/1-4                	  200000	      7653 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7367 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7331 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7469 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7317 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7177 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7187 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7058 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7190 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7029 ns/op	    6400 B/op	     200 allocs/op
Benchmark/10-4               	   20000	     72700 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     72217 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     73027 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     73190 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     68626 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     70418 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     70132 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     72683 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     94371 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     94876 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/100-4              	    2000	    758911 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    694022 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    694929 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    688206 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    702458 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    735284 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    730055 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    728329 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    746330 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    701384 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/1000-4             	     200	   7383809 ns/op	 6400001 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   7116602 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   6836524 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   6848281 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   6885956 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   6958827 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   6851803 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   7207203 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   7198826 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   7079726 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/10000-4            	      20	  75131730 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  73532247 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  75269276 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  89429479 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  72651789 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  82575248 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  76774836 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  77122094 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      10	 117604296 ns/op	64000024 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  73273376 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/100000-4           	       1	2278214082 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	1972056471 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2228768193 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2143349111 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2152681970 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2271869107 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2146545482 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2125162156 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	1912047073 ns/op	640000144 B/op	20000002 allocs/op
Benchmark/100000-4           	       1	2333113611 ns/op	640000048 B/op	20000001 allocs/op
