Benchmark/1-4                	  300000	      3848 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3817 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3902 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3894 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3842 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3883 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3897 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3917 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3836 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3847 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   30000	     56308 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     57588 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     57655 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     57449 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     57298 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     56621 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     56229 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     57024 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     56562 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     58387 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/100-4              	    2000	    564842 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    2000	    555284 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    596224 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    2000	    617319 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    599376 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    599229 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    592332 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    563018 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    558068 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    2000	    562270 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/1000-4             	     300	   4730551 ns/op	 6476801 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4723406 ns/op	 6476802 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4732913 ns/op	 6476801 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4942588 ns/op	 6476802 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   5001062 ns/op	 6476803 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4849472 ns/op	 6476802 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4728637 ns/op	 6476803 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4683657 ns/op	 6476802 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4903119 ns/op	 6476802 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4626802 ns/op	 6476803 B/op	  101400 allocs/op
Benchmark/10000-4            	      30	  52606157 ns/op	94604812 B/op	 1002200 allocs/op
Benchmark/10000-4            	      30	  53129703 ns/op	94604809 B/op	 1002200 allocs/op
Benchmark/10000-4            	      30	  52763168 ns/op	94604809 B/op	 1002200 allocs/op
Benchmark/10000-4            	      30	  54036319 ns/op	94604809 B/op	 1002200 allocs/op
Benchmark/10000-4            	      30	  54972291 ns/op	94604809 B/op	 1002200 allocs/op
Benchmark/10000-4            	      30	  55714044 ns/op	94604809 B/op	 1002200 allocs/op
Benchmark/10000-4            	      20	  54225045 ns/op	94604814 B/op	 1002200 allocs/op
Benchmark/10000-4            	      20	  54213197 ns/op	94604814 B/op	 1002200 allocs/op
Benchmark/10000-4            	      30	  55131216 ns/op	94604812 B/op	 1002200 allocs/op
Benchmark/10000-4            	      30	  54067215 ns/op	94604809 B/op	 1002200 allocs/op
Benchmark/100000-4           	       2	 720754654 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 733557736 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 719482363 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 738350309 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 741541180 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 716236870 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 701701757 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 708351264 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 706318588 ns/op	789107392 B/op	10002803 allocs/op
Benchmark/100000-4           	       2	 725091531 ns/op	789107344 B/op	10002802 allocs/op
