Benchmark/1-4                	  300000	      3856 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3911 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3951 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3897 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3899 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3915 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3880 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      4063 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3886 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      4028 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   30000	     56167 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     57907 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     58710 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     57671 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     58122 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     58814 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     57297 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     57829 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     57733 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     62251 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/100-4              	    3000	    560259 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    547614 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    550565 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    547795 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    554486 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    568228 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    549099 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    563461 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    559544 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    568104 ns/op	  736000 B/op	   10800 allocs/op
Benchmark/1000-4             	     300	   4683899 ns/op	 6476801 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4618956 ns/op	 6476802 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4750069 ns/op	 6476802 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4787480 ns/op	 6476803 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4780040 ns/op	 6476802 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4697426 ns/op	 6476802 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4781511 ns/op	 6476802 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4687497 ns/op	 6476802 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4731816 ns/op	 6476801 B/op	  101400 allocs/op
Benchmark/1000-4             	     300	   4683705 ns/op	 6476801 B/op	  101400 allocs/op
Benchmark/10000-4            	      30	  55579030 ns/op	94604809 B/op	 1002200 allocs/op
Benchmark/10000-4            	      30	  55060476 ns/op	94604809 B/op	 1002200 allocs/op
Benchmark/10000-4            	      20	  54673178 ns/op	94604814 B/op	 1002200 allocs/op
Benchmark/10000-4            	      30	  52904890 ns/op	94604809 B/op	 1002200 allocs/op
Benchmark/10000-4            	      30	  54577884 ns/op	94604809 B/op	 1002200 allocs/op
Benchmark/10000-4            	      30	  55529151 ns/op	94604809 B/op	 1002200 allocs/op
Benchmark/10000-4            	      30	  54126963 ns/op	94604809 B/op	 1002200 allocs/op
Benchmark/10000-4            	      30	  53969996 ns/op	94604809 B/op	 1002200 allocs/op
Benchmark/10000-4            	      30	  53225857 ns/op	94604809 B/op	 1002200 allocs/op
Benchmark/10000-4            	      30	  54070172 ns/op	94604809 B/op	 1002200 allocs/op
Benchmark/100000-4           	       2	 758859141 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 713420217 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 749309838 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 764389500 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 714221751 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 735260659 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 777949179 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 828954004 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 717854317 ns/op	789107344 B/op	10002802 allocs/op
Benchmark/100000-4           	       2	 742026144 ns/op	789107344 B/op	10002802 allocs/op
