Benchmark/1-4                	  300000	      5735 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  300000	      5602 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      6012 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  300000	      5941 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      6131 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  300000	      5791 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  300000	      6097 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      5877 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  300000	      6542 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      6277 ns/op	    2400 B/op	     200 allocs/op
Benchmark/10-4               	   30000	     48941 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     45308 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     44614 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     43911 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     45035 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     46515 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     50791 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     44912 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     43869 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     43967 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/100-4              	    5000	    324174 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    329576 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    328936 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    342614 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    325739 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    336519 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    323900 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    335152 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    324630 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    329399 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/1000-4             	     500	   4502643 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3109632 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   4441842 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3332433 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   4336504 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3185052 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3289053 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3364527 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   4763219 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3369385 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/10000-4            	      30	  39225650 ns/op	48769954 B/op	 1000600 allocs/op
Benchmark/10000-4            	      30	  43668233 ns/op	48769954 B/op	 1000600 allocs/op
Benchmark/10000-4            	      50	  36773486 ns/op	48769172 B/op	 1000600 allocs/op
Benchmark/10000-4            	      50	  37351253 ns/op	48769172 B/op	 1000600 allocs/op
Benchmark/10000-4            	      50	  37285998 ns/op	48769172 B/op	 1000600 allocs/op
Benchmark/10000-4            	      50	  35951164 ns/op	48769172 B/op	 1000600 allocs/op
Benchmark/10000-4            	      50	  41727479 ns/op	48769172 B/op	 1000600 allocs/op
Benchmark/10000-4            	      30	  36170637 ns/op	48769954 B/op	 1000600 allocs/op
Benchmark/10000-4            	      50	  35371661 ns/op	48769172 B/op	 1000600 allocs/op
Benchmark/10000-4            	      50	  42356050 ns/op	48769172 B/op	 1000600 allocs/op
Benchmark/100000-4           	       2	 854664457 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 822511483 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 770132931 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 891180336 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 805225349 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 824234072 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 802624506 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 839632747 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 754489421 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 762461278 ns/op	547883660 B/op	10000943 allocs/op
