Benchmark/1-4          	50000000	        37.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        39.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        40.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        38.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       333 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       338 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       342 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       345 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       337 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       338 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       386 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       345 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       344 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       348 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3396 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3329 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3387 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3351 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3313 ns/op	    1600 B/op	     100 allocs/op
