Benchmark/1-4          	50000000	        34.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        39.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        38.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       396 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       365 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       442 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       398 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       368 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       353 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       358 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       380 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       360 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       356 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3752 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      4118 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3810 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3562 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3742 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3594 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3402 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3397 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3472 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3457 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     35375 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34684 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33587 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     35279 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34125 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34655 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34348 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34344 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34626 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34538 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    5000	    338831 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    345896 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    344906 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    344325 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    343795 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    342479 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    345810 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    355065 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    345390 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    342515 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     500	   3453387 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3386788 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3565156 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3480661 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3452466 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3672155 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3580440 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3476993 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3543735 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3399758 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4    	      50	  34192396 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33902396 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33690363 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33793681 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  34255148 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      30	  34635247 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  34537100 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  35127437 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  35214391 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  34281884 ns/op	16000000 B/op	 1000000 allocs/op
