Benchmark/1-4          	30000000	        40.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        40.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        40.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        41.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        40.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        40.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        40.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        41.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        43.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        41.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 3000000	       411 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       413 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       418 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       411 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       424 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       412 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       411 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       400 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       414 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       416 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  300000	      4233 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      4008 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3989 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      4108 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      4092 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      4046 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      3964 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3962 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3923 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      4131 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     40036 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   30000	     41752 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   30000	     41414 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   30000	     44645 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   30000	     44452 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   30000	     41235 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   30000	     43323 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   30000	     46681 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   30000	     41912 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   30000	     41889 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    3000	    450174 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    448911 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    443558 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    443395 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    445893 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    414117 ns/op	  160000 B/op	   10000 allocs/op
