Benchmark/1-4          	50000000	        35.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       359 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       355 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       351 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       351 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       357 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       351 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       347 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       357 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       347 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       370 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3405 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3425 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3454 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3459 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3743 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3770 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3461 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      4095 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3662 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      4555 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     35671 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34556 ns/op	   16000 B/op	    1000 allocs/op
