Benchmark/1-4          	50000000	        33.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       343 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       345 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       348 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       350 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       370 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       351 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       389 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       352 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       355 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       361 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3388 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3455 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3485 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3374 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3460 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3423 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3615 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3452 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3952 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3406 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     33712 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34432 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33846 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33673 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33796 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33887 ns/op	   16000 B/op	    1000 allocs/op
