Benchmark/1-4          	30000000	        36.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        41.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        37.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        38.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        48.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        39.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        37.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        58.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       367 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       392 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       503 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       576 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       487 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       411 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       377 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       431 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       387 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       369 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3575 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3595 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3603 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3565 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3597 ns/op	    1600 B/op	     100 allocs/op
