Benchmark/1-4          	20000000	        98.3 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	       102 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	        95.9 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	       104 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	       111 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	        97.6 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	        95.4 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	        97.1 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	        94.5 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	        94.0 ns/op	      64 B/op	       3 allocs/op
Benchmark/10-4         	 2000000	       931 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 1000000	      1086 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 1000000	      1073 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 2000000	       990 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 2000000	      1008 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 2000000	       939 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 1000000	      1046 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 1000000	      1034 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 2000000	      1055 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 2000000	       964 ns/op	     640 B/op	      30 allocs/op
Benchmark/100-4        	  200000	      9563 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	      9407 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	      9452 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	     10174 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	      9961 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	      9785 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	      9579 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	     10884 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	      9194 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	      9946 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1000-4       	   20000	     91287 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   20000	     93053 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   20000	     93285 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   10000	    111146 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   20000	     92848 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   10000	    103234 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   20000	     96360 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   20000	     93675 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   20000	     92491 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   20000	     93878 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/10000-4      	    2000	    935330 ns/op	  640000 B/op	   30000 allocs/op
Benchmark/10000-4      	    2000	    939567 ns/op	  640000 B/op	   30000 allocs/op
Benchmark/10000-4      	    2000	    960366 ns/op	  640000 B/op	   30000 allocs/op
Benchmark/10000-4      	    2000	    942260 ns/op	  640000 B/op	   30000 allocs/op
Benchmark/10000-4      	    2000	    974131 ns/op	  640000 B/op	   30000 allocs/op
