Benchmark/1-4          	30000000	        39.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        41.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        37.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        42.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        36.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        41.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        41.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       419 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       378 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       398 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       415 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       365 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       428 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       382 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       376 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       416 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       364 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3842 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3831 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3630 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      4000 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      4247 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      4124 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      4268 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      4132 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      3700 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3677 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   30000	     40514 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   30000	     35471 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     37808 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   30000	     42212 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     35919 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     40449 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   30000	     37249 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     37254 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     40300 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     38351 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    3000	    395494 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    416796 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    419877 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    443668 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    461184 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    397530 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    374148 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    400179 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    376443 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    369758 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     300	   4051883 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     300	   3675249 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3776594 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     300	   4106966 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3570467 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   4139300 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     300	   3577257 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3767943 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     300	   4092585 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3533700 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4    	      50	  39540327 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      30	  38513619 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      30	  35468883 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  37532561 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  38831923 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  35514866 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  39351848 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      30	  43959858 ns/op	16000003 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  36470110 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  40588381 ns/op	16000000 B/op	 1000000 allocs/op
