Benchmark/1-4          	30000000	        37.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        42.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        40.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        40.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        41.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        36.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        37.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        41.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 3000000	       400 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       392 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       434 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       440 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       468 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       440 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       381 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       411 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       367 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       388 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3963 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3576 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      4073 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3769 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3843 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      4121 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      3615 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3602 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      4094 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      3995 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     35461 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     40325 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     35038 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     38737 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     36074 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     37843 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     38892 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     37144 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   30000	     40868 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   30000	     36301 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    5000	    373677 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    407743 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    368967 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    381219 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    402333 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    370145 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    362060 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    394489 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    369847 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    358514 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     500	   3921872 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3572746 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3974131 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     300	   4173984 ns/op	 1600000 B/op	  100000 allocs/op
