Benchmark/1-4          	20000000	        79.0 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        73.9 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        68.3 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	       100 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        70.3 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        67.4 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        68.5 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        71.0 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        67.4 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        68.1 ns/op	      64 B/op	       2 allocs/op
Benchmark/10-4         	 2000000	       721 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       708 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       731 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1000000	      1247 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       709 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       692 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       696 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       695 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       686 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       685 ns/op	     640 B/op	      20 allocs/op
Benchmark/100-4        	  200000	      6735 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6690 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6713 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6727 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6759 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6706 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6709 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6771 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      7524 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      7380 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1000-4       	   20000	     69046 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     81600 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     70749 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     74829 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     71444 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     72265 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     70948 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     69456 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     69515 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     68616 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10000-4      	    2000	    707853 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    709399 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    691902 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    704379 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    674289 ns/op	  640000 B/op	   20000 allocs/op
