Benchmark/1-4          	20000000	        72.7 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        72.7 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        95.1 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        72.4 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        73.3 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        72.8 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        75.1 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        71.1 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        70.6 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        94.8 ns/op	      64 B/op	       2 allocs/op
Benchmark/10-4         	 2000000	       725 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       731 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       705 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       700 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       737 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       724 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       696 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       718 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       730 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       702 ns/op	     640 B/op	      20 allocs/op
Benchmark/100-4        	  200000	      6877 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6817 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      7292 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      7135 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6940 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6947 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      8574 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      7169 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      7039 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6882 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1000-4       	   20000	     69503 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     73211 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     94814 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     72864 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     68728 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     69337 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     71789 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   10000	    110670 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   10000	    107793 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     75567 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10000-4      	    2000	    733940 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    698373 ns/op	  640000 B/op	   20000 allocs/op
