Benchmark/1-4          	30000000	        37.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        38.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        37.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        37.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        37.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       373 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       376 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       378 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       372 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       390 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       367 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       368 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       372 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       368 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       373 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3643 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3593 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3575 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3588 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3585 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3646 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3644 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3594 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3722 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      3612 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     36828 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     35966 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     36615 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     36668 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     36676 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     36357 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     36572 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     35483 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     35470 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     37483 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    5000	    369449 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    368674 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    368769 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    361889 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    374539 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    375317 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    367255 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    364280 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    368169 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    364982 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     500	   3752556 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3581289 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3597079 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3762302 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3651531 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3707738 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3754564 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3676025 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3674355 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3864864 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4    	      50	  38516821 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      30	  38398234 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      30	  36720957 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  36811311 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  36696950 ns/op	16000001 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      30	  38029676 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  36785172 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  37239073 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  37408424 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  37067918 ns/op	16000000 B/op	 1000000 allocs/op
