Benchmark/1-4          	30000000	        35.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        37.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        37.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        38.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       399 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       370 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       386 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       403 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       380 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       384 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       395 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       380 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       395 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       377 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3704 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      3957 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3721 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3964 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      3692 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3875 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      3855 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3833 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3674 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3603 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     38481 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     36269 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     37748 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     38677 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     36838 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     37565 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     37772 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     36808 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     36328 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     37106 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    5000	    371947 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    369589 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    378928 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    370476 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    394946 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    370861 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    412113 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    386135 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    377803 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    382466 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     500	   3997398 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3790399 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3808562 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   4267356 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3614116 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3670726 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3651380 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3816016 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     300	   3763057 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3856896 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4    	      50	  36997873 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  36883438 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  37215804 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  35975487 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  36982309 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  36969444 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  37550022 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  36916084 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  39150399 ns/op	16000001 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  36958037 ns/op	16000000 B/op	 1000000 allocs/op
