Benchmark/1-4          	50000000	        43.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        31.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        32.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        32.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        30.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        52.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        32.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        30.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       307 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       303 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       301 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       315 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       327 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       308 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       307 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       307 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       307 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       311 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3028 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2993 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3049 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3034 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3083 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3160 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3010 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2993 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3061 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2967 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     41190 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     30574 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     31037 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     30430 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     30814 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     32003 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   30000	     35168 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     31097 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     31418 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33291 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    5000	    323996 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    320460 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    328158 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    329221 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    321569 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    311835 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    320877 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    297477 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    306056 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    313859 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     500	   3039565 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3242240 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   2946376 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3163341 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3112501 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   2991961 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3093468 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   2961490 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3083212 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3211185 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4    	      50	  32419350 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  30440130 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  31787777 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  29551338 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  30146864 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  30083414 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  30402964 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  30104069 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  31554991 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  31844515 ns/op	16000000 B/op	 1000000 allocs/op
