Benchmark/1-4          	  200000	     11074 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10299 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10013 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10274 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10279 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10305 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10270 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10087 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10055 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10289 ns/op	   65712 B/op	       5 allocs/op
Benchmark/10-4         	  200000	     10854 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10984 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10729 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10627 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10808 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10695 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10992 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     11110 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10969 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10787 ns/op	   66000 B/op	      23 allocs/op
Benchmark/100-4        	  100000	     16697 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     17106 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     16601 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     16110 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     16211 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     16146 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     16435 ns/op	   68880 B/op	     203 allocs/op
